issue_id,severity,duplicate_kind,canonical_key,occurrences,coordinate_status,locations,risk,recommended_action
DUP-013,medium,region-vs-daily-place,Biblioteca de Catalunya,2,same,source/ASSETS/75_Execution_Maps/Barcelona_Execution_Map_v0.2.geojson:Biblioteca de Catalunya | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-08-31:biblioteca-de-catalunya,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
DUP-014,medium,region-vs-daily-place,MACBA,2,same,source/ASSETS/75_Execution_Maps/Barcelona_Execution_Map_v0.2.geojson:MACBA | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-08-31:macba,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
DUP-015,medium,region-vs-daily-place,Bàscara 확정 숙소,3,same,source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.geojson:Bàscara 확정 숙소 | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-09-02:bascara-stay | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-09-03:bascara-stay,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
DUP-016,medium,region-vs-daily-place,Collioure,2,same,source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.geojson:Collioure | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-09-02:collioure,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
DUP-017,medium,region-vs-daily-place,Cadaqués,2,same,source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.geojson:Cadaqués | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-09-02:cadaques,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
DUP-018,medium,region-vs-daily-place,Tossa de Mar,2,same,source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.geojson:Tossa de Mar | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-09-03:tossa,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
DUP-019,medium,region-vs-daily-place,Sant Feliu de Guíxols,2,same,source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.geojson:Sant Feliu de Guíxols | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-09-03:sant-feliu,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
DUP-020,medium,region-vs-daily-place,Pals,2,same,source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.geojson:Pals | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-09-03:pals,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
DUP-021,medium,region-vs-daily-place,Peratallada,2,same,source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.geojson:Peratallada | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-09-03:peratallada,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
DUP-022,medium,cross-day-id,barcelona-stay-candidate,3 daily placements,same,daily-maps.json:2026-08-29 | 2026-08-30 | 2026-08-31,일자마다 장소 전체 객체 반복,place-registry.json 1회 정의
DUP-023,critical,cross-day-private-id,bascara-stay,2 daily placements + region triad,same exact-looking coordinate,daily-maps.json:2026-09-02 | 2026-09-03 | Girona HTML/GeoJSON/KML,비공개 숙소가 중복되고 공개 빌드에서 좌표·주소 노출,공개 레지스트리에는 의도적으로 오차를 둔 좌표만 1회 저장; 정확 데이터는 저장소에서 제거
DUP-024,low,static-card-replacement,Day 12–24,13 legacy PNG + 13 Phase4 PNG,n/a,80_Daily_Mobile_Guide_Images/Day_12..24 + Phase4_Provence_Final/Day_12..24,어느 카드가 정본인지 파일명만으로 불명확,Phase4 우선 규칙 유지; 구본은 archive 분류
DUP-025,high,parallel-place-models,trip places,84 MD registry rows + 68 region points + 16 daily placements,not uniformly comparable,91_Place_Registry_v1.0.md | 75_Execution_Maps/* | daily-maps.json,장소 ID·좌표·유형·공개상태가 분산,새 JSON 레지스트리를 좌표·지도 속성의 단일 원본으로 지정하고 MD 레지스트리와 역할 통합
DRIFT-001,high,source-drift,girona,11 points in each source,same by name; order/category differ,Girona HTML vs Girona GeoJSON/KML,"HTML은 Pals→Peratallada→Peralada 및 핵심 방문지, GeoJSON/KML은 Peralada→Pals→Peratallada 및 옛 분류",정규화 시 승인된 일자 경로를 기준으로 하나의 순서·상태 선택
