Chapter,SectionPath,HeadingLevel,WordCount,PlaceholderCount,DraftingNotes
Barcelona·Sitges,Biblioteca de Catalunya {{grade:priority|우선추천}},4,0,0,
Barcelona·Sitges,무엇인가 — 산 파우의 전편,5,135,0,
Barcelona·Sitges,실용,5,21,1,Pending: {{badge:pending|재확인}}
Barcelona·Sitges,MACBA {{grade:optional|선택}},4,106,1,Pending: {{badge:pending|재확인}}
Barcelona·Sitges,Day 4 — 시체스 경유,3,0,0,
Barcelona·Sitges,왜 시체스를 경유하는가,4,31,0,
Barcelona·Sitges,Cau Ferrat {{grade:essential|필수}},4,0,0,
Barcelona·Sitges,무엇인가 — 모더니즘의 신전,5,59,0,
Barcelona·Sitges,핵심 — 다섯 번의 축제가 만든 것,5,65,0,
Barcelona·Sitges,소장품에서 볼 것,5,79,0,
Barcelona·Sitges,실용,5,29,2,Pending: {{badge:pending|재확인}}; Pending: {{badge:pending|재확인}}
Barcelona·Sitges,Palau de Maricel {{grade:priority|우선추천}},4,134,0,
Barcelona·Sitges,시체스 2시간 30분 핵심 동선,4,57,1,Internal Term: P0 연결
Barcelona·Sitges,8월 31일 중요 정정,2,26,0,
Barcelona·Sitges,실행지도 · 현장 사용,2,50,0,
Barcelona·Sitges,Layer 1. Quick Reference · 확정 일정 · 실행표,1,0,0,
Barcelona·Sitges,1. 한눈에 보는 실행 요약,2,304,2,Pending: {{badge:pending|무료취소기한 재확인}}; Pending: {{badge:pending|요금 공식 확인}}
Barcelona·Sitges,일정의 핵심 논리,3,26,0,
Barcelona·Sitges,2. 날짜별 확정 일정,2,0,0,
Barcelona·Sitges,Day 1 — 8월 29일 토요일,3,0,0,
Barcelona·Sitges,"도착, 숙소 정착, 생활권 적응",3,135,0,
Barcelona·Sitges,Day 2 — 8월 30일 일요일,3,0,0,
Barcelona·Sitges,"사그라다 파밀리아와 산파우 — 돌, 빛, 도시개혁",3,248,1,Pending: {{badge:pending|영업시간 확인}}
Barcelona·Sitges,Day 3 — 8월 31일 월요일,3,0,0,
Barcelona·Sitges,책과 도시의 기억 — 고딕지구·카탈루냐 도서관·MACBA,3,284,0,
Barcelona·Sitges,Day 4 — 9월 1일 화요일,3,0,0,
Barcelona·Sitges,"렌터카 인수, 시체스 모더니즘과 바다, 지로나 이동",3,396,0,
Barcelona·Sitges,⚠ 인수 창구에서 반드시 할 말 — 프랑스 주행 신고 {{badge:p0|보험}},3,83,1,Pending: {{badge:pending|요금·조건 계약서 확인}}
Barcelona·Sitges,⚠ 미결정 권고 — 시체스를 이 날 넣을 것인가 {{badge:pending|사용자 결정 대기}},3,199,1,Pending: {{badge:pending|Rodalies R2 Sud 시각·운임 확인}}
Barcelona·Sitges,9월 1일의 의사결정 기준,3,41,0,
Barcelona·Sitges,3. 피로도와 하루 활동량,2,98,0,
Barcelona·Sitges,4. 예약 우선순위 실행표,2,175,0,
Barcelona·Sitges,Layer 2. 지역 이해 · 동네 · 추천등급 · 볼거리,1,0,0,
Barcelona·Sitges,5. 바르셀로나와 카탈루냐를 이해하는 다섯 가지 열쇠,2,0,0,
Barcelona·Sitges,5.1 바르셀로나는 ‘고딕도시’이면서 ‘계획도시’다,3,61,0,
Barcelona·Sitges,5.2 카탈루냐어는 장식이 아니라 일상의 언어다,3,40,0,
Barcelona·Sitges,5.3 모더니즘은 가우디 한 사람의 스타일이 아니다,3,30,0,
Barcelona·Sitges,5.4 시장은 관광명소이기 전에 생활 인프라다,3,35,0,
Barcelona·Sitges,5.5 2026년은 도시 전체가 건축을 말하는 해다,3,28,0,
Barcelona·Sitges,6. 추천등급 기준,2,106,0,
Barcelona·Sitges,7. 숙소 생활권과 동네별 성격,2,40,0,
Barcelona·Sitges,7.1 Dreta de l’Eixample 동부 — 가장 균형 잡힌 1순위,3,75,0,
Barcelona·Sitges,7.2 Sagrada Família 서쪽·Fort Pienc — 가격과 실행성의 2순위,3,58,0,
Barcelona·Sitges,7.3 Vila de Gràcia — 생활감은 좋지만 이동 효율은 3순위,3,50,0,
Barcelona·Sitges,7.4 Sant Antoni — 음식·시장·현대도시를 좋아하면 좋은 대안,3,49,0,
Barcelona·Sitges,"7.5 Born·Gòtic — 방문은 필수, 숙박은 비추천",3,29,0,
Barcelona·Sitges,7.6 Poblenou — 장기체류에는 좋지만 이번 3박에는 비효율,3,21,0,
Barcelona·Sitges,8. 주요 관광지 상세 설명과 추천등급,2,0,0,
Barcelona·Sitges,8.1 Basílica de la Sagrada Família,3,35,0,
Barcelona·Sitges,실용정보,4,140,1,Pending: {{badge:pending|출발 전 재확인}}
Barcelona·Sitges,Jason·Julia 관람 순서,4,61,0,
Barcelona·Sitges,타워 선택 판단,4,48,0,
Barcelona·Sitges,2026 특별 포인트,4,39,0,
Barcelona·Sitges,8.2 Recinte Modernista de Sant Pau,3,106,1,Pending: {{badge:pending|출발 전 재확인}}
Barcelona·Sitges,8.3 Gothic Quarter와 Plaça del Rei,3,48,0,
Barcelona·Sitges,8.4 Biblioteca de Catalunya,3,67,0,
Barcelona·Sitges,8.5 MACBA — Museu d’Art Contemporani de Barcelona,3,77,1,Pending: {{badge:pending|출발 전 재확인}}
Barcelona·Sitges,8.6 Museu Picasso de Barcelona,3,68,1,Pending: {{badge:pending|공식 확인 필요}}
Barcelona·Sitges,8.7 MNAC — Museu Nacional d’Art de Catalunya,3,51,1,Pending: {{badge:pending|공식 확인 필요}}
Barcelona·Sitges,8.8 Fundació Joan Miró,3,38,0,
Barcelona·Sitges,8.9 Disseny Hub Barcelona,3,44,0,
Barcelona·Sitges,9. 미술관·박물관·도서관·서점 선택표,2,193,1,Pending: {{badge:pending|공식 확인}}
Barcelona·Sitges,서점 세부 추천,3,51,0,
Barcelona·Sitges,10. 시체스 지역 이해와 핵심 동선,2,0,0,
Barcelona·Sitges,10.1 왜 시체스를 경유하는가,3,33,0,
Barcelona·Sitges,10.2 2시간 30분 핵심동선,3,33,0,
Barcelona·Sitges,10.3 Cau Ferrat와 Maricel,3,73,0,
Barcelona·Sitges,10.4 해변 선택,3,36,0,
Barcelona·Sitges,Layer 3. 숙소 · 음식 · 생활 · 운동 · 이벤트 · 예약 · 대체안,1,0,0,
Barcelona·Sitges,11. 숙소 선택 원칙과 예산,2,10,0,
Barcelona·Sitges,11.1 예산 산식,3,57,0,
Barcelona·Sitges,11.2 공통 필수 확인,3,100,0,
Barcelona·Sitges,12. 실제 숙소 후보 7곳,2,303,0,
Barcelona·Sitges,12.1 1순위: Hotel SERHS Carlit,3,47,0,
Barcelona·Sitges,12.2 2순위: Hotel Glòries,3,29,0,
Barcelona·Sitges,12.3 3순위: Leonardo Boutique Hotel Barcelona Sagrada Familia,3,28,0,
Barcelona·Sitges,12.4 4순위: Praktik Garden,3,50,0,
Barcelona·Sitges,12.5 5순위: Motel One Barcelona-Ciutadella,3,41,0,
Barcelona·Sitges,12.6 6순위: Aparthotel Napols,3,28,0,
Barcelona·Sitges,12.7 숙소 최종 선택 알고리즘,3,53,0,
Barcelona·Sitges,먹거리 — 카탈루냐 요리의 문법,1,16,0,
Barcelona·Sitges,카탈루냐 요리의 기본 문법,2,82,0,
Barcelona·Sitges,시체스의 xató,2,34,0,
Barcelona·Sitges,이 구간의 식사 전략,2,60,1,Pending: {{badge:pending|확인 권장}}
Barcelona·Sitges,시간대,2,53,0,
Barcelona·Sitges,13. 레스토랑과 카페 — 실명·메뉴·가격·예약,2,16,0,
Barcelona·Sitges,13.1 확정 또는 우선 예약 레스토랑,3,145,0,
Barcelona·Sitges,13.2 Bodega Joan — 예산과 전통의 균형,3,108,0,
Barcelona·Sitges,13.3 La Paradeta — 사그라다 뒤의 실용적 해산물,3,46,0,
Barcelona·Sitges,13.4 Bar Cañete — 한 번의 집중 타파스,3,51,0,
Barcelona·Sitges,13.5 La Zorra Sitges — 이동일 점심의 기준점,3,52,0,
Barcelona·Sitges,식당 카드 — La Zorra {{badge:p0|9/1 확정 점심}},4,203,0,
Barcelona·Sitges,13.6 추가 식당 후보,3,122,0,
Barcelona·Sitges,14. 카페 5곳,2,160,0,
Barcelona·Sitges,15. 시장·슈퍼·빵·햄·치즈·제철 과일,2,0,0,
Barcelona·Sitges,15.1 Mercat de la Concepció — 실제 장보기 1순위,3,99,0,
Barcelona·Sitges,15.2 Boqueria — 상징성은 높지만 이번에는 선택,3,21,0,
Barcelona·Sitges,15.3 Santa Caterina — Born 일정과 결합할 대안,3,28,0,
Barcelona·Sitges,15.4 슈퍼마켓 사용 원칙,3,36,0,
Barcelona·Sitges,15.5 8월 말 제철 구입 추천,3,45,0,
Barcelona·Sitges,15.6 2인 3일 아침·점심 장보기 예시,3,84,0,
Barcelona·Sitges,16. Jason 운동 — 헬스장과 러닝,2,38,0,
Barcelona·Sitges,16.1 러닝: Passeig de Sant Joan–Ciutadella (Eixample 대안),3,55,0,
Barcelona·Sitges,16.2 러닝 2순위: Barceloneta 해변,3,19,0,
Barcelona·Sitges,16.3 CEM Joan Miró,3,67,0,
Barcelona·Sitges,16.4 DiR Claris,3,33,0,
Barcelona·Sitges,17. Julia 선택 수영시설,2,19,0,
Barcelona·Sitges,17.1 Club Natació Atlètic-Barceloneta,3,58,0,
Barcelona·Sitges,17.2 CEM Joan Miró,3,19,0,
Barcelona·Sitges,17.3 선택 기준,3,40,0,
Barcelona·Sitges,18. 2026년 행사·특별전 — 체류기간에 실제로 겹치는 것,2,211,0,
Barcelona·Sitges,행사 운영 원칙,3,30,0,
Barcelona·Sitges,교통 — 이 구간의 이동 구조,1,0,0,
Barcelona·Sitges,이 구간의 성격 — 아직 차가 없다,2,13,0,
Barcelona·Sitges,지하철·버스,2,27,1,Pending: {{badge:pending|요금 재확인}}
Barcelona·Sitges,Barcelona Sants — Day 4의 기점,2,49,1,Internal Term: P0 연결
Barcelona·Sitges,시체스까지,2,34,0,
Barcelona·Sitges,저배출구역 (ZBE),2,13,1,Pending: {{badge:pending|확인 필요}}
Barcelona·Sitges,19. 공항·시내교통 실용정보,2,0,0,
Barcelona·Sitges,19.1 공항에서 숙소,3,98,2,Pending: {{badge:pending|요금 공식 확인}}; Pending: {{badge:pending|요금 공식 확인}}
Barcelona·Sitges,19.2 2026 시내교통권,3,62,0,
Barcelona·Sitges,20. 9월 1일 렌터카 인수 실행 가이드,2,0,0,
Barcelona·Sitges,20.1 인수지 권장: Barcelona Sants,3,38,1,Pending: {{badge:pending|영업시간 공식 확인}}
Barcelona·Sitges,20.2 예약 시 반드시 넣을 조건,3,66,0,
Barcelona·Sitges,20.3 현장 10분 점검,3,54,0,
Barcelona·Sitges,20.4 바르셀로나 ZBE,3,40,0,
Barcelona·Sitges,21. 시체스 주차와 이동,2,0,0,
Barcelona·Sitges,21.1 1순위: Can Robert,3,30,0,
Barcelona·Sitges,21.2 2순위: Plaça del Pou Vedre 지하주차장,3,38,0,
Barcelona·Sitges,21.3 주차비 판단,3,24,0,
Barcelona·Sitges,22. 우천·지연·피로 대체안,2,0,0,
Barcelona·Sitges,22.1 8월 29일 항공 지연,3,52,0,
Barcelona·Sitges,22.2 8월 30일 비,3,34,0,
Barcelona·Sitges,22.3 8월 30일 사그라다 예약 실패,3,32,0,
Barcelona·Sitges,22.4 8월 31일 피로,3,28,0,
Barcelona·Sitges,22.5 9월 1일 렌터카 지연,3,48,0,
Barcelona·Sitges,22.6 9월 1일 폭우·교통경보,3,24,0,
Barcelona·Sitges,23. 예약카드,2,0,0,
Barcelona·Sitges,예약카드 A — 사그라다 파밀리아,3,73,0,
Barcelona·Sitges,예약카드 B — 바르셀로나 숙소 · 예약완료,3,101,1,Pending: {{badge:pending|재확인}}
Barcelona·Sitges,예약카드 C — Bar Cañete,3,56,0,
Barcelona·Sitges,예약카드 D — 렌터카,3,86,0,
Barcelona·Sitges,예약카드 E — La Zorra Sitges,3,70,0,
Barcelona·Sitges,24. 출발 전 확인목록,2,0,0,
Barcelona·Sitges,D-60–D-45,3,45,0,
Barcelona·Sitges,D-30–D-14,3,41,0,
Barcelona·Sitges,D-7,3,58,0,
Barcelona·Sitges,D-2–D-1,3,52,0,
Barcelona·Sitges,매일 밤 5분 점검,3,35,0,
Barcelona·Sitges,25. 현지 안전과 지속가능한 여행,2,76,0,
Barcelona·Sitges,경비 — 예산 설계,1,17,0,
Barcelona·Sitges,3박 4일 구조 (2인),2,48,0,
Barcelona·Sitges,입장료 — 이 구간의 특징,2,54,5,Pending: {{badge:pending|재확인}}; Pending: {{badge:pending|재확인}}; Pending: {{badge:pending|재확인}}; Pending: {{badge:pending|재확인}}; Pending: {{badge:pending|재확인}}
Barcelona·Sitges,절감 여지,2,44,0,
Barcelona·Sitges,결제,2,27,0,
Barcelona·Sitges,"26. 예상 현지비용 — 2인, 숙박 제외",2,135,0,
Barcelona·Sitges,편집자 큐레이션 — 바르셀로나·시체스를 더 깊게 경험하는 법,2,22,0,
Barcelona·Sitges,{{VISUAL:VIS-MAP-047|type=map|status=linked|strategy=execution-map}} 바르셀로나 도시구조와 3박 핵심동선,3,15,0,
Barcelona·Sitges,{{VISUAL:VIS-PHOTO-088|type=photo|status=pre-publication|strategy=licensed-or-direct}} Sagrada Família 내부의 빛과 기둥,3,13,0,
Barcelona·Sitges,편집자가 고른 핵심 방문지 5곳,3,0,0,
Barcelona·Sitges,Sagrada Família — “가우디 건축”보다 도시가 140년 넘게 이어온 집단 프로젝트,4,86,0,
Barcelona·Sitges,Recinte Modernista de Sant Pau — 화려한 병원이 아니라 ‘빛과 정원으로 치료하려 한 도시개혁’,4,55,0,
Barcelona·Sitges,Gothic Quarter·Plaça del Rei — 중세유적보다 ‘층이 겹친 도시’를 보는 곳,4,64,0,
Barcelona·Sitges,Biblioteca de Catalunya — 관광명소가 아닌 ‘조용한 카탈루냐 문화기관’ 체험,4,57,0,
Barcelona·Sitges,Sitges {{grade:optional|선택}},4,214,0,
Barcelona·Sitges,바르셀로나에서 꼭 체험할 것,3,74,0,
Barcelona·Sitges,식당을 장소처럼 이해하기,3,16,0,
Barcelona·Sitges,식당 카드 — Bodega Joan {{badge:pending|8/29·30 저녁 결정}},4,123,0,
Barcelona·Sitges,식당 카드 — Bar Cañete {{badge:pending|8/31 점심 예약 결정}},4,119,0,
Barcelona·Sitges,Bodega Joan — 관광객도 편하게 이용할 수 있는 오래된 동네식당,4,53,0,
Barcelona·Sitges,La Paradeta — 주문 자체가 경험인 해산물 식당,4,9,0,
Barcelona·Sitges,식당 카드 — La Paradeta Sagrada Família {{badge:p0|8/30 계획 점심}},4,178,0,
Barcelona·Sitges,Bar Cañete — 한 번만 선택할 ‘집중 타파스’,4,28,0,
Barcelona·Sitges,La Zorra Sitges — 이동일에도 지역 쌀요리를 포기하지 않는 방법,4,29,0,
Barcelona·Sitges,Granja M. Viader — ‘카페’보다 바르셀로나 식문화의 작은 박물관,4,39,0,
Barcelona·Sitges,현장에서의 최종 선택 규칙,3,51,0,
Barcelona·Sitges,대안 루트 — 이번 일정에서 배제한 경로,1,14,0,
Barcelona·Sitges,우선순위,2,52,0,
Barcelona·Sitges,Palau de la Música Catalana {{badge:rest|1순위}},2,57,1,Pending: {{badge:pending|재확인}}
Barcelona·Sitges,Casa Batlló · La Pedrera (Casa Milà),2,32,0,
Barcelona·Sitges,Park Güell,2,28,1,Pending: {{badge:pending|재확인}}
Barcelona·Sitges,Museu Picasso,2,32,0,
Barcelona·Sitges,Montjuïc,2,36,0,
Barcelona·Sitges,Montserrat,2,23,0,
Barcelona·Sitges,27. 공식자료와 검증 기록,2,17,0,
Barcelona·Sitges,관광·교통·건축,3,52,0,
Barcelona·Sitges,미술관·도서관·서점,3,46,0,
Barcelona·Sitges,시장·운동,3,31,0,
Barcelona·Sitges,음식,3,58,0,
Barcelona·Sitges,시체스·도로·주차,3,47,0,
Barcelona·Sitges,숙소 가격 참고,3,25,0,
Barcelona·Sitges,28. 최종 결론,2,112,0,
Barcelona·Sitges,검증 상태 — 보강본 근거,1,192,1,Pending: {{badge:pending|2026-08 확인 · 출발 전 재확인}}
Girona·Collioure·Empordà,Preamble,0,14,0,
Girona·Collioure·Empordà,Commercial Guide Module,1,25,0,
Girona·Collioure·Empordà,Editor’s Verdict,2,58,0,
Girona·Collioure·Empordà,놓치면 아쉬운 선택,2,86,0,
Girona·Collioure·Empordà,하루를 완성하는 네 가지 선택,2,78,0,
Girona·Collioure·Empordà,이 지역의 Top 10,2,29,0,
Girona·Collioure·Empordà,현장 메모,2,43,0,
Girona·Collioure·Empordà,Chapter 05. 지로나·콜리우르·바이스 엠포르다,1,0,0,
Girona·Collioure·Empordà,"중세도시의 저녁, 프랑스 카탈루냐 해안마을, 석조마을과 코스타브라바",2,59,0,
Girona·Collioure·Empordà,Phase 10 공식정보 원칙,2,22,0,
Girona·Collioure·Empordà,Regional Context & Scheduled Place Dossiers,1,0,0,
Girona·Collioure·Empordà,이 3박이 여행 전체에서 하는 일,2,78,0,
Girona·Collioure·Empordà,지역을 이해하는 다섯 개의 층,2,0,0,
Girona·Collioure·Empordà,역사 — 로마 도시 위에 얹힌 중세,3,51,0,
Girona·Collioure·Empordà,Call — 600년이 사라진 자리,3,119,0,
Girona·Collioure·Empordà,경제 — 관광도시가 아니다,3,34,0,
Girona·Collioure·Empordà,사회 — 강 하나로 갈리는 두 생활권,3,42,0,
Girona·Collioure·Empordà,문화 — 다양성이 축이다,3,18,0,
Girona·Collioure·Empordà,일정에 포함된 장소별 상세 가이드,2,24,0,
Girona·Collioure·Empordà,Day 1 — 지로나,3,0,0,
Girona·Collioure·Empordà,1. 지로나 대성당 — 필수,4,0,0,
Girona·Collioure·Empordà,무엇인가,5,63,0,
Girona·Collioure·Empordà,핵심 — 23미터를 기둥 없이 건너뛴 결정,5,100,0,
Girona·Collioure·Empordà,보물관 — 세 점이 전부다,5,156,0,
Girona·Collioure·Empordà,그 밖에,5,28,0,
Girona·Collioure·Empordà,실용,5,51,0,
Girona·Collioure·Empordà,2. 성벽 (Passeig de la Muralla) — 필수,4,0,0,
Girona·Collioure·Empordà,무엇인가,5,63,0,
Girona·Collioure·Empordà,관람 요령,5,86,0,
Girona·Collioure·Empordà,실용,5,40,0,
Girona·Collioure·Empordà,3. Call — 유대인 지구,4,70,0,
Girona·Collioure·Empordà,실용,5,46,0,
Girona·Collioure·Empordà,4. 오냐르 강변 — 우선 추천,4,0,0,
Girona·Collioure·Empordà,무엇인가,5,18,0,
Girona·Collioure·Empordà,관람 요령,5,55,0,
Girona·Collioure·Empordà,Day 2 — 콜리우르 · 페랄라다,3,0,0,
Girona·Collioure·Empordà,5. 콜리우르 시장 (수요일) — 필수,4,94,0,
Girona·Collioure·Empordà,6. Château Royal de Collioure — 필수,4,0,0,
Girona·Collioure·Empordà,무엇인가,5,89,0,
Girona·Collioure·Empordà,실용,5,26,0,
Girona·Collioure·Empordà,7. Chemin du Fauvisme — 필수,4,0,0,
Girona·Collioure·Empordà,무엇인가 — 석 달이 미술사를 바꾼 사건,5,133,0,
Girona·Collioure·Empordà,어떻게 걷는가,5,124,0,
Girona·Collioure·Empordà,실용,5,45,0,
Girona·Collioure·Empordà,8. 페랄라다 — 본 일정에서 제외,4,82,1,Pending: {{badge:pending|2026-08 확인 · 출발 전 재확인}}
Girona·Collioure·Empordà,Day 3 — 엠포르다 · 코스타 브라바,3,58,0,
Girona·Collioure·Empordà,9. Pals — 우선 추천,4,0,0,
Girona·Collioure·Empordà,무엇인가,5,75,0,
Girona·Collioure·Empordà,관람 요령,5,102,0,
Girona·Collioure·Empordà,알아 둘 것,5,29,0,
Girona·Collioure·Empordà,10. Peratallada — 필수,4,0,0,
Girona·Collioure·Empordà,무엇인가,5,29,0,
Girona·Collioure·Empordà,핵심 — 해자를 먼저 보라,5,103,0,
Girona·Collioure·Empordà,볼 것,5,36,0,
Girona·Collioure·Empordà,실용,5,51,0,
Girona·Collioure·Empordà,11. Calella de Palafrugell — 필수,4,0,0,
Girona·Collioure·Empordà,무엇인가,5,26,0,
Girona·Collioure·Empordà,핵심 — Les Voltes는 식당 테라스가 아니었다,5,77,0,
Girona·Collioure·Empordà,Camí de Ronda,5,70,0,
Girona·Collioure·Empordà,Cap Roig 정원,5,25,0,
Girona·Collioure·Empordà,실용,5,59,0,
Girona·Collioure·Empordà,유대사 박물관 (Museu d’Història dels Jueus) — 선택,3,48,2,Pending: {{badge:pending|재확인}}; Pending: {{badge:pending|재확인}}
Girona·Collioure·Empordà,실행지도 · 현장 사용,2,49,0,
Girona·Collioure·Empordà,Layer 1. 한눈에 보는 실행 정보,1,0,0,
Girona·Collioure·Empordà,1. Quick Reference,2,172,0,
Girona·Collioure·Empordà,2. 전체 일정표,2,88,0,
Girona·Collioure·Empordà,3. 동선 도식,2,69,0,
Girona·Collioure·Empordà,4. 이 일정이 Jason·Julia에게 맞는 이유,1,80,0,
Girona·Collioure·Empordà,5. 확정 숙소와 운영 전략,1,0,0,
Girona·Collioure·Empordà,5.1 Bàscara 확정 숙소,2,112,0,
Girona·Collioure·Empordà,5.2 거점 성격,2,57,0,
Girona·Collioure·Empordà,5.3 출발 전 재확인,2,30,0,
Girona·Collioure·Empordà,6. Day 1 — 9월 1일 화요일,1,0,0,
Girona·Collioure·Empordà,Barcelona → Sitges → Girona 또는 Bàscara,2,0,0,
Girona·Collioure·Empordà,오늘의 목표,3,24,0,
Girona·Collioure·Empordà,체크인 시간 확인 후 고르는 운영안,3,77,0,
Girona·Collioure·Empordà,6.1 필수 일정,2,0,0,
Girona·Collioure·Empordà,지로나 대성당 — 필수,3,37,0,
Girona·Collioure·Empordà,성벽 — 필수,3,27,1,Pending: {{badge:pending|공식 확인}}
Girona·Collioure·Empordà,Onyar 강변 — 우선 추천,3,17,0,
Girona·Collioure·Empordà,6.2 선택,2,24,0,
Girona·Collioure·Empordà,6.3 지연 시 대체,2,32,0,
Girona·Collioure·Empordà,6.4 저녁식사,2,0,0,
Girona·Collioure·Empordà,Casa Marieta — 기본 추천,3,21,0,
Girona·Collioure·Empordà,대체,3,44,0,
Girona·Collioure·Empordà,7. Day 2 — 9월 2일 수요일,1,0,0,
Girona·Collioure·Empordà,Bàscara → Collioure → Cadaqués → Bàscara,2,0,0,
Girona·Collioure·Empordà,오늘의 테마,3,31,0,
Girona·Collioure·Empordà,7.1 권장 시간표,2,82,0,
Girona·Collioure·Empordà,7.2 콜리우르 주차,2,0,0,
Girona·Collioure·Empordà,기본: 공식 외곽 주차장(출발 전 재확인),3,35,0,
Girona·Collioure·Empordà,대체,3,17,0,
Girona·Collioure·Empordà,7.3 콜리우르 시장 — 필수,2,47,0,
Girona·Collioure·Empordà,7.4 Château Royal — 필수,2,29,1,Pending: {{badge:pending|공식 확인}}
Girona·Collioure·Empordà,7.5 Chemin du Fauvisme — 필수,2,44,0,
Girona·Collioure·Empordà,7.6 콜리우르 점심,2,0,0,
Girona·Collioure·Empordà,Le Jardin de Collioure — 사전예약형,3,68,0,
Girona·Collioure·Empordà,대체,3,12,0,
Girona·Collioure·Empordà,7.7 현지 구매,2,0,0,
Girona·Collioure·Empordà,Anchois Roque,3,16,0,
Girona·Collioure·Empordà,7.8 Peralada — 본 일정에서 제외,2,25,0,
Girona·Collioure·Empordà,대체안(예약 확인 시 별도일에만 검토),3,15,0,
Girona·Collioure·Empordà,마을 산책,3,12,0,
Girona·Collioure·Empordà,취소 기준,3,24,0,
Girona·Collioure·Empordà,7.9 Bàscara 복귀와 저녁,2,0,0,
Girona·Collioure·Empordà,Girona 식당은 우회 선택,3,29,0,
Girona·Collioure·Empordà,기본,3,33,0,
Girona·Collioure·Empordà,8. Day 3 — 9월 3일 목요일,1,0,0,
Girona·Collioure·Empordà,Bàscara → Tossa de Mar → Sant Feliu de Guíxols → Pals → Peratallada → Bàscara,2,0,0,
Girona·Collioure·Empordà,오늘의 테마,3,27,0,
Girona·Collioure·Empordà,8.1 권장 시간표,2,94,0,
Girona·Collioure·Empordà,8.2 Pals — 우선 추천,2,0,0,
Girona·Collioure·Empordà,볼 것,3,49,0,
Girona·Collioure·Empordà,주차,3,15,0,
Girona·Collioure·Empordà,체류 원칙,3,16,0,
Girona·Collioure·Empordà,8.3 Peratallada — 필수,2,0,0,
Girona·Collioure·Empordà,볼 것,3,42,0,
Girona·Collioure·Empordà,주차,3,32,0,
Girona·Collioure·Empordà,점심,3,0,0,
Girona·Collioure·Empordà,1순위 후보,4,8,0,
Girona·Collioure·Empordà,가벼운 선택,4,25,0,
Girona·Collioure·Empordà,8.4 Calella de Palafrugell — 핵심 일정에서 제외된 대체안,2,0,0,
Girona·Collioure·Empordà,볼 것,3,28,0,
Girona·Collioure·Empordà,주차,3,32,0,
Girona·Collioure·Empordà,해안산책,3,0,0,
Girona·Collioure·Empordà,기본,4,19,0,
Girona·Collioure·Empordà,선택,4,26,0,
Girona·Collioure·Empordà,8.5 Calella 카페·이른 저녁,2,0,0,
Girona·Collioure·Empordà,El Tragamar — 전망과 휴식,3,18,0,
Girona·Collioure·Empordà,El Didal — 해산물,3,11,0,
Girona·Collioure·Empordà,Calau — 타파스,3,14,0,
Girona·Collioure·Empordà,Sa Jambina — 생선요리,3,13,0,
Girona·Collioure·Empordà,8.6 Bàscara 복귀와 저녁,2,30,0,
Girona·Collioure·Empordà,간단한 디저트,3,28,0,
Girona·Collioure·Empordà,9. Day 4 — 9월 4일 금요일,1,0,0,
Girona·Collioure·Empordà,Bàscara 체크아웃 후 니스로 이동 {{badge:p0|P0 연결}},2,263,2,Pending: {{badge:pending|Hertz 변경 확인}}; Pending: {{badge:pending|기내 캐리어 확인}}
Girona·Collioure·Empordà,국경을 넘는 차가 아니다 — 그래도 확인할 것,3,78,1,Pending: {{badge:pending|요금·조건 예약서 확인}}
Girona·Collioure·Empordà,출발 전 30분 옵션,2,19,0,
