place_slug,asset_name,source_platform,author,source_url,rights_status,license_or_terms,retrieved_at,local_copy,embed_or_rehost,modification,alt_text
casa-marieta,casa-marieta-facade.jpg,Wikimedia Commons,Pere López,https://commons.wikimedia.org/wiki/File:Pla%C3%A7a_de_la_Independ%C3%A8ncia_-_Casa_Marieta.jpg,CLEAR-LICENSE,CC BY-SA 3.0,2026-08-21,N/A,remote-or-pending,Resized,Casa Marieta 인디펜덴시아 광장 아케이드 외관
mercat-del-lleo,mercat-del-lleo.jpg,Wikimedia Commons,Girona City,https://commons.wikimedia.org/wiki/File:Mercat_del_Lle%C3%B3_Girona.jpg,CLEAR-LICENSE,CC BY-SA 3.0,2026-08-21,N/A,remote-or-pending,Resized,Mercat del Lleó 지로나 공설시장
patisserie-weibel,patisserie-weibel-terrace.jpg,Official / Editorial,Maison Weibel,https://www.maisonweibel.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Pâtisserie Weibel 리셸므 광장 테라스
chez-gilbert-cassis,chez-gilbert-port.jpg,Official / Editorial,Chez Gilbert,https://www.chezgilbert.net/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Chez Gilbert 카시스 구항구 부야베스 테라스
fou-de-fafa-avignon,fou-de-fafa-interior.jpg,Official / Editorial,Fou de Fafa,https://www.foudefafaavignon.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Fou de Fafa 아늑한 실내 석조 아치
les-cocottes-saint-louis,les-cocottes-cloitre.jpg,Official / Editorial,Cloître Saint-Louis,https://www.cloitre-saint-louis.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Les Cocottes Saint-Louis 16세기 수도원 회랑 테라스
le-gibolin-arles,le-gibolin-facade.jpg,Official / Editorial,Le Gibolin,https://www.arlestourisme.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Le Gibolin 아를 로케트 지구 외관
cafe-comptoir-abel,cafe-comptoir-abel-interior.jpg,Official / Editorial,Café Comptoir Abel,https://www.cafecomptoirabel.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Café Comptoir Abel 300년 역사의 목조 실내와 붉은 체크 식탁보
daniel-et-denise,daniel-et-denise-pate.jpg,Official / Editorial,Daniel et Denise,https://danieletdenise.fr/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Daniel et Denise 세계 챔피언 파테 앙 크루트와 부숑 실내
chez-mamie-lise,chez-mamie-lise-chalet.jpg,Official / Editorial,Chez Mamie Lise,https://www.chez-mamie-lise.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Chez Mamie Lise 안시 구시가지 알프스 샬레 산장 인테리어
boulangerie-pichard,boulangerie-pichard-facade.jpg,Official / Editorial,Boulangerie Pichard,https://www.paris.fr/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Boulangerie Pichard 15구 파사드와 바게트 트라디시옹
marche-convention,marche-convention-stalls.jpg,Official / Editorial,Ville de Paris,https://www.paris.fr/equipements/marche-convention-5460,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Marché Convention 15구 일요 노천시장 가판대와 과일
cafe-du-commerce,cafe-du-commerce-atrium.jpg,Official / Editorial,Café du Commerce,https://www.lecafeducommerce.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Café du Commerce 1921년 3층 아르데코 가든 보이드 실내
le-grand-pan,le-grand-pan-grill.jpg,Official / Editorial,Le Grand Pan,https://www.legrandpan.fr/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Le Grand Pan 브누아 고티에 셰프의 참나무 숯불 비스트로 실내
bouillon-chartier-montparnasse,bouillon-chartier-montparnasse-hall.jpg,Official / Editorial,Bouillon Chartier,https://www.bouillon-chartier.com/montparnasse/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Bouillon Chartier Montparnasse 1903년 아르누보 역사기념물 실내 홀
