slug,name,local_name,region,content_tier,priority,kind,lines,bytes,summary
glanum,Glanum,Site Archéologique de Glanum & Les Antiques,avignon,TIER_B,WORTHWHILE,spot,56,4290,기원전 6세기 켈트 성소에서 헬레니즘 도시를 거쳐 로마 제국의 온천 휴양도시로 번영했던 거대한 고대 발굴 유적지. 갈리아에서 가장 완벽하게 보존된 기원전 1세기 로마 영묘와 개선문 '레 장티크(Les Antiques)'.
gordes,Gordes,Gordes,luberon,TIER_A,MUST_SEE,spot,56,4712,보클뤼즈 고원 가장자리 백색 석회암 절벽 위에 층층이 솟아오른 뤼베롱 최고의 요새 마을. 마을 진입로에서 마주하는 압도적인 파노라마 전경과 11세기 중세 르네상스 성채.
goult,Goult,Goult (Le Village Secret),luberon,TIER_B,WORTHWHILE,spot,54,3640,대형 관광버스가 닿지 않아 뤼베롱에서 가장 고요하고 평화로운 '숨겨진 보석' 마을. 언덕 정상의 17세기 예루살렘 풍차(Moulin de Jérusalem)와 현지인들의 정겨운 일상이 살아있는 골목길.
grand-palais,Grand Palais,Grand Palais (Nef & Galeries Nationales),paris,TIER_A,MUST_SEE,spot,56,4401,1900년 파리 만국박람회를 위해 건립된 45m 높이 아르누보 철골 유리 네이브(Nave)의 기념비적 국립 전시장. 2024 파리 올림픽을 거쳐 리노베이션 완료 후 재개관한 파리 문화 예술의 중심지.
grasse,Grasse,Grasse (Capitale Mondiale du Parfum),aix,TIER_B,WORTHWHILE,spot,53,3788,16세기 가죽 향장갑에서 출발해 500년 전통을 이어온 세계 향수 산업의 수도. 프라고나르(Fragonard) 유서 깊은 공장과 국제 향수 박물관이 자리한 프로방스 내륙 언덕 도시.
halles-de-lyon-paul-bocuse,Halles de Lyon Paul Bocuse,Les Halles de Lyon-Paul Bocuse,lyon,UTILITY,MUST_SEE,spot,55,4275,"프랑스 요리의 교황 폴 보퀴즈의 이름을 딴 세계 최고의 실내 미식 시장. 프랑스 최고 장인(MOF)들의 50여 개 최고급 식료품점, 메르 리샤르 생마르슬랭 치즈, 시빌리아 샤퀴테리, 현장 굴·해산물 바."
l-isle-sur-la-sorgue,L'Isle-sur-la-Sorgue,L'Isle-sur-la-Sorgue (Venise Comtadine),luberon,TIER_B,WORTHWHILE,spot,55,4637,"에메랄드빛 소르그(Sorgue) 강이 섬처럼 감싸 흐르는 '프로방스의 베네치아'. 이끼 낀 거대한 목조 물레바퀴(Roues à aubes), 300여 개 앤틱 상점이 밀집한 유럽 3대 골동품 도시이자 시인 르네 샤르의 고향."
la-roquette,La Roquette,Quartier de la Roquette (Arles),avignon,TIER_C,OPTIONAL,spot,49,3414,"론(Rhône) 강변을 따라 파스텔톤 가옥과 덧창, 조약돌 골목이 이어지는 아를의 옛 어부와 뱃사공 주거 지구. 관광지 인파를 벗어난 조용한 로컬 생활권과 폴 두메르 광장의 아늑한 카페 테라스."
latin-quarter,Latin Quarter,Quartier Latin (5e arrondissement),paris,TIER_A,MUST_SEE,spot,50,4692,"중세 소르본 대학 교수와 학생들이 공용어로 라틴어를 쓰던 데서 유래한 800년 파리 지성의 요람이자 센 강 좌안(Rive Gauche)의 심장. 프랑스 위인들의 성소 팡테옹(Panthéon), 셰익스피어 앤 컴퍼니, 뤽상부르 공원."
le-marais,Le Marais,Le Marais (3e & 4e arrondissements),paris,TIER_A,MUST_SEE,spot,54,5040,"17세기 귀족 저택(Hôtel particulier), 파리에서 가장 오래된 대칭 광장 보주 광장(Place des Vosges), 유대인 전통 미식 로지에 거리, 북마레의 감각적인 독립 부티크와 갤러리가 공존하는 역사·트렌드 지구."
le-panier,Le Panier (마르세유 구시가지),Le Panier (Vieux Marseille),aix,TIER_B,WORTHWHILE,spot,54,4180,"마르세유에서 가장 오래된 언덕 위 미로 마을. 파스텔톤 가옥, 감각적인 그라피티 벽화, 예술 공방, 그리고 17세기 옛 빈민 구제소 비에이 샤리테(Vieille Charité)를 품은 보헤미안 지구."
le-rocher,Le Rocher,Le Rocher (Monaco-Ville),nice,TIER_A,MUST_SEE,spot,57,4187,지중해로 60m 솟아오른 천연 바위 절벽 위에 조성된 모나코 대공국의 역사적 심장부이자 왕궁 마을.
le-suquet,Le Suquet,Le Suquet (Vieille Ville de Cannes),nice,TIER_B,WORTHWHILE,spot,56,3965,크루아제트의 화려함 뒤에 숨겨진 11세기 옛 어촌의 가파른 돌계단 골목과 정상 성당에서 바라보는 칸 만의 파노라마.
les-baux-de-provence,Les Baux-de-Provence,Les Baux-de-Provence,avignon,TIER_A,MUST_SEE,spot,50,3613,알피유(Alpilles) 산맥 해발 245m 석회암 절벽 위에 우뚝 솟은 중세 독수리 요새 마을. 자연 암반과 성벽이 하나로 결합된 레보 성채(Château des Baux) 폐허와 올리브 계곡 대파노라마.
les-halles,Les Halles d'Avignon,Marché Couvert Les Halles d'Avignon,avignon,TIER_B,WORTHWHILE,spot,51,3636,세계적인 식물학자 파트리크 블랑의 300㎡ 거대한 수직 정원(Mur Végétal) 외벽 아래 40여 개 프로방스 전통 식재료 좌판이 모인 아비뇽의 활기찬 실내 중앙 미식 시장.
lourmarin,Lourmarin,Lourmarin,luberon,TIER_A,MUST_SEE,spot,58,5009,"알베르 카뮈가 영면한 뤼베롱 남부의 평탄하고 세련된 예술 마을. 프로방스 최초의 르네상스 성(Château de Lourmarin), 플라타너스 그늘 아래 카페 테라스, 로즈마리에 덮인 소박한 카뮈의 묘소."
macba,MACBA,Museu d'Art Contemporani de Barcelona,barcelona,TIER_B,WORTHWHILE,spot,54,3890,리처드 마이어의 백색 모더니즘 건축과 세계 스케이터 문화가 공존하는 라발 지구의 현대미술관.
marche-de-la-liberation,Marché de la Libération,Marché de la Libération (Gare du Sud),nice,UTILITY,WORTHWHILE,spot,40,2344,관광객 중심의 쿠르 살레야와 달리 니스 현지 주민들의 진짜 장바구니 물가와 일상을 만나는 대형 야외 농산물 시장.
marche-forville,Marché Forville,Marché Forville (Cannes),nice,UTILITY,MUST_SEE,spot,42,2258,"칸 주민들의 부엌이자 지중해 해산물, 프로방스 과일, 꽃, 치즈가 가득한 1934년 유서 깊은 철골 재래시장."
marseille,Marseille (마르세유 도시 전체),Marseille,aix,TIER_B,MUST_SEE,spot,56,4280,"2,600년 역사를 품은 프랑스 제2의 도시이자 지중해 최대의 항만 도시. 엑상프로방스의 우아하고 정적인 학문 도시와 대비되는 거칠고 역동적인 지중해 다문화의 용광로."
menerbes,Ménerbes,Ménerbes,luberon,TIER_B,WORTHWHILE,spot,55,4133,피터 메일의 소설 『프로방스에서의 1년』의 무대이자 피카소의 뮤즈 도라 마르가 살았던 길고 좁은 능선(Ridge) 위의 성채 마을. 뤼베롱 와인과 트러플의 중심지이자 고즈넉한 예술 마을.
menton,Menton,Menton (Vieille Ville & Basilique Saint-Michel),nice,TIER_B,MUST_SEE,spot,59,5147,프랑스·이탈리아 국경의 온난한 미기후 속에 지중해로 쏟아져 내리는 파스텔톤 구시가지와 17세기 바로크 생 미셸 대성당을 품은 '프랑스의 진주'.
monaco-walk,Monaco Rocher–Port–Monte Carlo Walk,Promenade de Monaco : Du Rocher à Monte-Carlo,nice,TIER_C,OPTIONAL,walk,41,2353,절벽 위 왕궁 마을(Le Rocher)에서 11:55 위병 교대식을 보고 랑프 마요르 돌계단을 내려와 에르퀼 항구 F1 서킷을 지나 몬테카를로 카지노 광장으로 이어지는 모나코 핵심 도보 코스.
monaco,Monaco,Principauté de Monaco,nice,TIER_A,MUST_SEE,spot,62,4886,"해발 60m 절벽 위 왕궁 마을(Le Rocher), F1 그랑프리 서킷의 에르퀼 항구, 벨 에포크의 정점 몬테카를로 카지노가 수직으로 공존하는 세계 2위의 극소국."
montagne-sainte-victoire-terrain-des-peintres,Montagne Sainte-Victoire · Terrain des Peintres,Terrain des Peintres (Vue sur Sainte-Victoire),aix,TIER_A,MUST_SEE,spot,53,4666,폴 세잔이 생애 후반 매일 이젤을 펴고 생트 빅투아르 산을 그렸던 언덕 위 전망 터. 세라믹 복제 화판과 실제 거대한 석회암 암벽을 한 프레임에 겹쳐 보는 야외 관람의 정수.
montmartre-south-pigalle,Montmartre · South Pigalle,"Montmartre & South Pigalle (SoPi, 18e & 9e)",paris,TIER_A,MUST_SEE,spot,56,5201,"파리에서 가장 높은 해발 130m 석회암 언덕의 사크레쾨르 대성당, 피카소와 인상파 보헤미안들의 자갈 골목 및 유일한 포도밭(Clos Montmartre), 그리고 남쪽의 트렌디한 미식·부티크 거리 사우스 피갈(SoPi)."
montorgueil,Montorgueil,Rue Montorgueil (2e arrondissement),paris,TIER_B,WORTHWHILE,spot,54,4189,"파리의 옛 중앙 식료품 시장 '레 알(Les Halles)'의 전통을 잇는 활기찬 조약돌 보행자 미식 거리. 1730년 개업한 파리 최고(最古)의 제과점 스토레(Stohrer), 유서 깊은 치즈·샤퀴테리 상점과 야외 카페 테라스."
mucem,Mucem (유럽 및 지중해 문명 박물관),Mucem (Musée des Civilisations de l'Europe et de la Méditerranée),aix,TIER_A,MUST_SEE,spot,57,4786,파리 외부에 설립된 프랑스 최초의 국립박물관. 건축가 루디 리치오티가 설계한 초고성능 레이스 콘크리트 외피(J4 빌딩)와 공중 보도교로 연결된 17세기 생장 요새가 바다 위에서 조화를 이루는 현대 건축의 걸작.
musee-d-orsay,Musée d'Orsay,Musée d'Orsay,paris,TIER_A,MUST_SEE,spot,56,4965,"1900년 오르세 기차역을 개조한 웅장한 보자르 건축물에 1848~1914년 인상주의와 후기 인상주의의 최고 걸작들이 집결한 미술관. 모네, 르누아르, 반 고흐, 드가, 로댕과 5층 대형 시계창 조망."
musee-de-l-orangerie,Musée de l'Orangerie,Musée de l'Orangerie,paris,TIER_A,MUST_SEE,spot,60,4791,튈르리 정원 서쪽 옛 오렌지 온실을 개조한 미술관. 클로드 모네의 불후의 대작 『수련(Nymphéas)』 연작 8점이 타원형 2개 방에 자연 채광으로 완벽히 펼쳐진 몰입형 예술 공간과 장 발터-폴 기욤 컬렉션.
musee-du-louvre,Musée du Louvre,Musée du Louvre,paris,TIER_A,MUST_SEE,spot,55,4731,"38만 점 소장품과 73,000㎡ 전시 면적을 자랑하는 세계 최대의 미술관이자 프랑스 왕궁. 이오 밍 페이의 유리 피라미드, 모나리자, 밀로의 비너스, 사모트라케의 니케를 품은 인류 예술의 보고."
musee-granet,Musée Granet,"Musée Granet (Beaux-Arts, Archéologie, Cézanne)",aix,TIER_B,WORTHWHILE,spot,56,4277,"옛 몰타 기사단 수도원에 자리한 프로방스 대표 미술관. 세잔의 유화 및 수채화, 엑상 출신 화가 그라네의 작품, 자코메티·피카소를 아우르는 장 플랑크 현대 미술 컬렉션의 보고."
musee-marmottan-monet,Musée Marmottan Monet,Musée Marmottan Monet,paris,TIER_B,WORTHWHILE,spot,51,4293,"불로뉴 숲 인근 16구 저택에 위치한 세계 최대의 클로드 모네 원작 컬렉션 미술관. 인상주의 명칭의 기원이 된 『인상, 해돋이(1872)』와 모네 아들 미셸 모네가 기증한 후기 지베르니 수련 유화들."
nce-t2,NCE T2,Aéroport Nice Côte d'Azur — Terminal 2 (Tram L2),nice,UTILITY,WORTHWHILE,transport,36,2070,니스 코트다쥐르 국제공항 제2터미널과 도심을 25분 만에 연결하는 트램 2호선(L2)의 출발 기점.
nice-ville,Nice-Ville,Gare de Nice-Ville (TER PACA),nice,UTILITY,WORTHWHILE,transport,36,2093,"칸, 앙티브, 모나코, 멘통 등 코트다쥐르 해안선을 잇는 TER 근교 열차의 중심 철도 관문."
nice-walk,Nice Old Town–Castle Hill Walk,Promenade du Vieux-Nice à la Colline du Château,nice,TIER_B,WORTHWHILE,walk,41,2256,쿠르 살레야 시장에서 출발해 비외 니스 미로 골목을 지나 성채 언덕의 지중해 낙조 파노라마로 이어지는 니스의 시그니처 도보 코스.
notre-dame-de-la-garde,Basilique Notre-Dame de la Garde,Basilique Notre-Dame de la Garde (La Bonne Mère),aix,TIER_A,MUST_SEE,spot,55,4440,"해발 154m 석회암 언덕 정상에 우뚝 선 마르세유의 상징. 뱃사람들이 '착한 어머니(La Bonne Mère)'라 부르는 11m 황금 성모상과 화려한 비잔틴 금빛 모자이크, 지중해와 도시 전체가 360도로 펼쳐지는 최고봉 파노라마."
notre-dame-de-paris,Notre-Dame de Paris,Cathédrale Notre-Dame de Paris,paris,TIER_A,MUST_SEE,spot,54,4600,"2019년 4월 화재 이후 5년간의 기적적인 복원을 거쳐 2024년 12월 재개관한 파리의 심장 시테 섬의 고딕 대성당. 1163년 초기 고딕의 정점, 복원된 96m 첨탑과 중세 스테인드글라스 3대 장미창."
onyar,Onyar,Cases de l'Onyar & Pont de les Peixateries Velles,girona,TIER_B,MUST_SEE,spot,50,3241,구시가지와 신시가지를 가르는 오냐르 강변의 파스텔톤 채색 가옥들과 구스타브 에펠의 붉은 철교.
oppede-le-vieux,Oppède-le-Vieux,Oppède-le-Vieux,luberon,TIER_C,OPTIONAL,spot,51,3956,19세기 주민들이 떠난 뒤 시간 속에 멈춰버린 뤼베롱의 신비로운 옛 중세 요새 마을. 숲과 덩굴에 뒤덮인 12세기 성채 폐허와 복원된 노트르담 달리동(Notre-Dame-d'Alidon) 성당.
palais-des-papes,Palais des Papes,Palais des Papes (Avignon),avignon,TIER_A,MUST_SEE,spot,64,5771,"14세기 가톨릭 교황청이 로마를 떠나 68년간 머물렀던 서유럽 최대의 중세 고딕 요새 궁전. 베네딕토 12세의 구궁전과 클레멘스 6세의 신궁전, 마테오 조바네티의 프레스코화와 히스토패드 3D 증강현실 복원."
palau-de-maricel,Palau de Maricel,,barcelona,TIER_B,WORTHWHILE,spot,34,2050,⚠ 9/1(화)에는 관람할 수 없다.
pals,Pals,Pals (Vila Medieval),girona,TIER_B,WORTHWHILE,spot,50,3145,엠포르다 평야가 내려다보이는 언덕 위에 완벽하게 복원된 카탈루냐 고딕 석조 요새 마을.
parc-de-la-tete-d-or,Parc de la Tête d'Or,Parc de la Tête d'Or (Lyon),lyon,TIER_B,WORTHWHILE,spot,51,3735,"1857년 조성된 117ha 면적의 프랑스 최대 도심 생태 공원. 16ha 인공 호수, 19세기 거대한 철골 유리 온실 식물원, 무료 야외 동물원과 국제 장미원(Roseraie)."
passeig-de-la-muralla,Passeig de la Muralla,Muralles de Girona (Passeig Arqueològic),girona,TIER_A,MUST_SEE,spot,60,4598,기원전 1세기 로마 성벽부터 14세기 카롤링거·중세 성벽을 따라 걸으며 구시가지 붉은 지붕과 피레네산맥을 360도로 조망하는 공중 산책로.
peralada,Peralada,Castell de Peralada & Jardins,girona,TIER_C,OPTIONAL,spot,41,2000,"14세기 중세 성채와 카르멜회 수도원, 카탈루냐 카바(Cava) 와이너리 박물관이 있는 역사 마을."
peratallada,Peratallada,Peratallada (Vila Fortificada),girona,TIER_B,WORTHWHILE,spot,51,3417,살아있는 거대한 천연 암반을 수직으로 파내어 만든 8m 깊이의 해자와 돌골목이 원형 그대로 남은 중세 요새 마을.
place-du-forum-arles,Place du Forum,Place du Forum (Arles),avignon,TIER_B,WORTHWHILE,spot,53,4142,"고대 로마 정치·경제의 중심지였던 포룸 터 위에 조성된 아를 구도심의 대표 광장. 빈센트 반 고흐의 명작 『밤의 카페 테라스』 무대(Café Van Gogh), 로마 신전 기둥이 박힌 오텔 노르-피뉘, 프레데리크 미스트랄 동상."
place-richelme-place-des-precheurs,시장 — Place Richelme · Place des Prêcheurs,Marché d'Aix-en-Provence (Place Richelme & Place des Prêcheurs),aix,TIER_B,MUST_SEE,spot,55,4263,"리셸므 광장에서 매일 아침 열리는 오감의 로컬 식료품 시장과, 화·목·토 대규모로 확장되는 프레셰르 광장의 프로방스 전통 종합 시장."
pont-du-gard,Pont du Gard,Site du Pont du Gard,avignon,TIER_A,MUST_SEE,spot,68,6238,우제스의 외르 샘에서 고대 로마 식민도시 님(Nîmes)까지 50km를 오직 중력만으로 흐르게 한 기원 1세기 3층 로마 수도교. 높이 48.8m 세계 최고(最高)의 고대 수력 토목공학 걸작(유네스코 세계유산).
pont-saint-benezet,Pont Saint-Bénézet,Pont Saint-Bénézet (Pont d'Avignon),avignon,TIER_B,MUST_SEE,spot,57,4719,12세기 론(Rhône) 강을 건너 교황령 아비뇽과 프랑스 왕국을 잇던 920m의 유일한 석조 다리. 소빙하기의 거센 홍수로 22개 아치 중 4개와 2층 생니콜라 예배당만 남은 유네스코 세계유산.
promenade-des-anglais,Promenade des Anglais,Promenade des Anglais,nice,TIER_A,MUST_SEE,spot,56,4335,지중해 천사의 만(Baie des Anges)을 따라 7km로 이어지는 전 세계에서 가장 상징적인 해안 산책로이자 벨 에포크 건축의 전시장.
