place_id,place_name,entity_type,field,before_status,after_status,action,source_file,notes
bourse-de-commerce-pinault-collection,Bourse de Commerce — Pinault Collection,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/bourse-de-commerce-pinault-collection.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
cafe-comptoir-abel,Café Comptoir Abel,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/cafe-comptoir-abel.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
cafe-du-commerce,Café du Commerce,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/cafe-du-commerce.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
calanques,Parc National des Calanques,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/calanques.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
calella-de-palafrugell,Calella de Palafrugell,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/calella-de-palafrugell.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
cannes-walk,Cannes Forville–Suquet–Croisette Walk,WALK,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/cannes-walk.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
cannes,Cannes,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/cannes.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
carrieres-de-bibemus,Carrières de Bibémus,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/carrieres-de-bibemus.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
carrieres-des-lumieres,Carrières des Lumières,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/carrieres-des-lumieres.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
casa-marieta,Casa Marieta,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/casa-marieta.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
cassis,Cassis (카시스 항구),ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/cassis.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
cau-ferrat,Cau Ferrat,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/cau-ferrat.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
centre-pompidou,Centre Pompidou,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/centre-pompidou.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
chez-gilbert-cassis,Chez Gilbert,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/chez-gilbert-cassis.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
chez-mamie-lise,Chez Mamie Lise,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/chez-mamie-lise.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
cloitre-saint-trophime,Cloître Saint-Trophime,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/cloitre-saint-trophime.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
colline-du-chateau,Colline du Château,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/colline-du-chateau.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
collioure,Collioure,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/collioure.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
cours-mirabeau,Cours Mirabeau,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/cours-mirabeau.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
cours-saleya,Cours Saleya,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/cours-saleya.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
coustellet,Marché Paysan de Coustellet,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/coustellet.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
croix-rousse,Croix-Rousse,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/croix-rousse.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
daniel-et-denise,Daniel et Denise,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/daniel-et-denise.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
fondation-vincent-van-gogh-arles,Fondation Vincent van Gogh Arles,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/fondation-vincent-van-gogh-arles.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
fort-saint-jean,Fort Saint-Jean,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/fort-saint-jean.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
fou-de-fafa-avignon,Fou de Fafa,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/fou-de-fafa-avignon.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
fourviere,Fourvière,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/fourviere.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
girona-cathedral,Girona Cathedral,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/girona-cathedral.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
giverny,Giverny,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/giverny.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
glanum,Glanum,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/glanum.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
gordes,Gordes,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/gordes.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
goult,Goult,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/goult.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
grand-palais,Grand Palais,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/grand-palais.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
grasse,Grasse,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/grasse.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
halles-de-lyon-paul-bocuse,Halles de Lyon Paul Bocuse,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/halles-de-lyon-paul-bocuse.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
l-isle-sur-la-sorgue,L'Isle-sur-la-Sorgue,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/l-isle-sur-la-sorgue.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
la-paradeta-sagrada-familia,La Paradeta Sagrada Família,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/la-paradeta-sagrada-familia.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
la-roquette,La Roquette,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/la-roquette.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
la-zorra,La Zorra,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/la-zorra.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
latin-quarter,Latin Quarter,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/latin-quarter.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
le-figuier-de-saint-esprit,Le Figuier de Saint-Esprit,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/le-figuier-de-saint-esprit.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
le-gibolin-arles,Le Gibolin,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/le-gibolin-arles.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
le-grand-pan,Le Grand Pan,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/le-grand-pan.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
le-marais,Le Marais,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/le-marais.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
le-panier,Le Panier (마르세유 구시가지),ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/le-panier.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
le-rocher,Le Rocher,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/le-rocher.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
le-suquet,Le Suquet,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/le-suquet.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
les-baux-de-provence,Les Baux-de-Provence,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/les-baux-de-provence.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
les-cocottes-saint-louis,Les Cocottes Saint-Louis,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/les-cocottes-saint-louis.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
les-halles,Les Halles d'Avignon,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/les-halles.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
lourmarin,Lourmarin,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/lourmarin.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
macba,MACBA,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/macba.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
marche-convention,Marché Convention,MARKET,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/marche-convention.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
marche-de-la-liberation,Marché de la Libération,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/marche-de-la-liberation.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
marche-forville,Marché Forville,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/marche-forville.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
marseille,Marseille (마르세유 도시 전체),ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/marseille.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
menerbes,Ménerbes,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/menerbes.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
menton,Menton,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/menton.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
mercat-concepcio,Mercat de la Concepció,MARKET,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/mercat-concepcio.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
mercat-del-lleo,Mercat del Lleó,MARKET,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/mercat-del-lleo.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
monaco-walk,Monaco Rocher–Port–Monte Carlo Walk,WALK,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/monaco-walk.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
monaco,Monaco,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/monaco.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
montagne-sainte-victoire-terrain-des-peintres,Montagne Sainte-Victoire · Terrain des Peintres,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/montagne-sainte-victoire-terrain-des-peintres.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
montmartre-south-pigalle,Montmartre · South Pigalle,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/montmartre-south-pigalle.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
montorgueil,Montorgueil,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/montorgueil.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
mucem,Mucem (유럽 및 지중해 문명 박물관),ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/mucem.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-carnavalet,Musée Carnavalet,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-carnavalet.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-d-art-moderne-de-paris,Musée d’Art Moderne de Paris,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-d-art-moderne-de-paris.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-d-orsay,Musée d'Orsay,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-d-orsay.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-de-l-orangerie,Musée de l'Orangerie,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-de-l-orangerie.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-du-louvre,Musée du Louvre,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-du-louvre.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-du-luxembourg,Musée du Luxembourg,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-du-luxembourg.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-granet,Musée Granet,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-granet.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-guimet,Musée Guimet,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-guimet.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-gustave-moreau,Musée Gustave Moreau,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-gustave-moreau.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-jacquemart-andre,Musée Jacquemart-André,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-jacquemart-andre.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-marmottan-monet,Musée Marmottan Monet,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-marmottan-monet.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-picasso-paris,Musée Picasso Paris,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-picasso-paris.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
musee-rodin,Musée Rodin,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/musee-rodin.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
