day,date,region,overnight_location,stop_count,canonical_place_count,exception_count,first_stop,last_stop,transport_modes,lodging_ref,map_exists,daily_card_exists,booking_refs,meal_refs,route_data_exists,route_source,route_status_code,day_card_map_consistency
16,2026-09-13,luberon,Luberon,5,3,2,Aix 숙소 체크아웃 & 차량 적재,Domaine des Peyre 농가 체크인 & 테라스 첫 저녁,"car;렌터카 (Aix ➔ Lourmarin ➔ Coustellet ➔ Goult ➔ Domaine des Peyre);차량 내 수하물 완전 은폐 (가림막 장착, 짐 노출 금지)",Domaine des Peyre (후보),Y,Y,"lourmarin(주차: Parking du Rayol (Primary) / Parking du Château (Backup));coustellet(주차: Parking de la Gare / Marché (무료 주차));goult(주차: Place de la Libération);farm-checkin(숙소 확정/후보 (Domaine des Peyre, Robion 인근))",None,Y,routes/day-16-driving-osrm.json,D,MATCH
17,2026-09-14,luberon,Luberon,6,3,3,농가 숙소 아침 & 출발,농가 숙소 복귀 & 저녁,car;walk;렌터카 (Domaine des Peyre ↔ Roussillon ↔ Goult ↔ 숙소);황토길 오커 트레일 도보 (30분/50분 코스),Domaine des Peyre (후보),Y,Y,sentier-ocres(입장료 현장 €3.50 / 주차: Parking Saint-Michel (Primary));roussillon(식당: Restaurant David 또는 Le Bistrot de Roussillon);goult(주차: Place de la Libération / Rue de la République),None,Y,routes/day-17-driving-osrm.json,D,MATCH
18,2026-09-15,luberon,Luberon,7,4,3,농가 숙소 조기 출발 ➔ Gordes 이동,농가 복귀 & 익일 Avignon 이동 준비,car;walk;렌터카 (Domaine des Peyre ↔ Gordes ↔ Village des Bories ↔ Sénanque ➔ Ménerbes ➔ 숙소);외곽 주차 후 도보 접근 (Parking Bel-Air / Parking Charles de Gaulle),Domaine des Peyre (후보),Y,Y,"gordes(주차: Parking Bel-Air (Primary, 외곽) / Parking Charles de Gaulle (Backup));village-des-bories(입장료 현장 €6 / 주차장 완비 (진입로 협소 주의));senanque(외관/주차 무료 (내부 가이드 투어 시 사전 예약));menerbes(주차: Parking de la Mairie / Parking du Lavoir)",picnic,Y,routes/day-18-driving-osrm.json,D,MATCH
19,2026-09-16,avignon,Avignon,5,1,4,농가 숙소 체크아웃 & 출발,아비뇽 첫 저녁 & 휴식,car;walk;렌터카 (Domaine des Peyre ➔ Avignon 성벽 주차장);아비뇽 시내 도보,La Terrasse du Clocher (후보),Y,Y,avignon-parking-lunch(주차: Parking des Halles (Primary) / Parking Palais des Papes (Backup));avignon-checkin(숙소 예약/후보 (La Terrasse du Clocher 인근));avignon-return(현장 선택),avignon-parking-lunch,Y,routes/day-19-driving-osrm.json,D,MATCH
20,2026-09-17,avignon,Avignon,7,4,3,Les Halles d'Avignon 아침 시장,아비뇽 저녁 식사 & 숙소 귀환,walk;아비뇽 구시가지 도보 (성벽 내 압축권),La Terrasse du Clocher (후보),Y,Y,palais(사전 시간지정 예약 필수 (€12 / 결합권 €14.50));palais-lunch(현장 선택);rocher-doms(무료 입장);pont(교황청 결합권 이용);avignon-return(저녁 예약 권장),palais-lunch,N,daily-card-pins,A,MATCH
21,2026-09-18,avignon,Avignon,5,3,2,Avignon 숙소 출발 ➔ Uzès 이동,Avignon 복귀 & 저녁,car;walk;렌터카 (Avignon ↔ Uzès ↔ Pont du Gard ↔ Avignon);외곽 전용 주차장 (Parking Cordeliers / Pont du Gard Rive Gauche),La Terrasse du Clocher (후보),Y,Y,uzes(주차: Parking Cordeliers (Primary) / Parking Gide (Backup));uzes-lunch(현장 선택);pont-du-gard(주차/입장권 (€9.50/차량 포함) / Left Bank (Rive Gauche) 주차장),uzes-lunch,Y,routes/day-21-driving-osrm.json,D,MATCH
22,2026-09-19,avignon,Avignon,7,5,2,Avignon Centre역 ➔ Arles 이동 (TER),Arles ➔ Avignon 귀환 & 마지막 저녁,"SNCF TER 기차 왕복 (Avignon Centre ↔ Arles, 단 17분 소요);train;walk;아를 시내 도보 (원형경기장 ➔ 고대극장 ➔ 포룸 광장 ➔ 생트로핌 ➔ 라 로케트)",La Terrasse du Clocher (후보),Y,Y,avignon-centre(SNCF Connect (30분 간격 배차));arenes(현장 발권 / JEP 무료/특별 입장);forum-lunch(현장 선택),forum-lunch,N,daily-card-pins,A,MATCH
23,2026-09-20,lyon,Lyon,6,1,5,Avignon 숙소 체크아웃 & 차량 적재,리옹 부숑 저녁 식사 & 숙소 귀환,"Lyon 택시/지하철;TGV INOUI 12176 (Avignon TGV 10:22 ➔ Lyon Part-Dieu 11:28, 1등석 확정);car;metro;taxi;train;walk;렌터카 반납 (Avignon TGV역 Hertz 09:00 반납 완료, 확정 [CONFIRMED])",Lagrange Aparthotel Lyon Lumière,Y,Y,avignon-tgv(예약확정 Hertz [CONFIRMED] — 9/20 09:00 반납);part-dieu(예약완료 TGV INOUI 12176 · 1등석 (10:22~11:28));lyon-checkin(예약확정 Lagrange Aparthotel Lyon Lumière ([CONFIRMED]) — 체크인 15:00);lyon-return(저녁 예약 권장 (Café Comptoir Abel 등)),None,N,daily-card-pins,A,MATCH
24,2026-09-21,lyon,Lyon,7,3,4,Metro D ➔ Vieux Lyon ➔ 푸니쿨라 F2 상행,정통 부숑 만찬 — Daniel et Denise & 귀환,TCL 대중교통 (Metro D + Funicular F2 푸니쿨라);metro;tram;walk;리옹 구시가지 및 손 강변 도보,Lagrange Aparthotel Lyon Lumière,Y,Y,funicular-ascent(TCL 1회권/24시간권 (€2.00 / €6.70));fourviere(대성당/로마극장 무료 입장);vieux-lyon-lunch(현장 선택);lyon-bouchon-dinner(저녁 예약 확정/권장 (Daniel & Denise Créqui / Saint-Jean)),vieux-lyon-lunch;lyon-bouchon-dinner,N,daily-card-pins,A,MATCH
25,2026-09-22,lyon,Lyon,6,5,1,Marché de la Croix-Rousse & 마을 산책,숙소 복귀 & 휴식 (저녁 가볍게),"TCL 대중교통 (Metro D ➔ Metro C선 실크 언덕 상행, Croix-Rousse ➔ Bus C13 직통 Halles 이동, Metro B ➔ Metro D 숙소 복귀);bus;metro;walk;크루아루스 실크 공방 및 테트도르 공원 도보",Lagrange Aparthotel Lyon Lumière,Y,Y,maison-des-canuts(11:00 직조 시연 슬롯 현장/사전 예약 (€10));halles-gastronomy(시장 내 식당 현장 착석 (12:30));tete-dor(무료 입장),halles-gastronomy,N,daily-card-pins,A,MATCH
26,2026-09-23,lyon,Lyon,5,2,3,Lyon Part-Dieu ➔ Annecy 이동 (TER),Annecy ➔ Lyon Part-Dieu 귀환 & 저녁,"SNCF TER 기차 왕복 (Lyon Part-Dieu ↔ Annecy, 직통 약 1시간 58분);train;walk;안시 구시가지 및 호숫가 도보",Lagrange Aparthotel Lyon Lumière,Y,Y,part-dieu-departure(SNCF Connect (현장/사전 발권));savoy-lunch(현장 선택 / 대기 적은 곳 우선);lakefront(크루즈 현장 발권 (선택));annecy-return(SNCF Connect),savoy-lunch,N,daily-card-pins,A,MATCH
27,2026-09-24,paris,Paris,6,0,6,Lyon 숙소 체크아웃 & Part-Dieu역 이동,숙소 첫 저녁 식사 & 파리 15박 시작,"Paris Gare de Lyon ➔ 15구 숙소 택시 이동 (약 35분 소요);TGV INOUI 6618 (Lyon Part-Dieu 13:04 ➔ Paris Gare de Lyon 15:00, 1등석 확정 [CONFIRMED]);taxi;train;walk",78 Rue de Lourmel (파리 15구),Y,Y,"lyon-checkout(체크아웃 완료 (Lagrange Lumière [CONFIRMED]));tgv-to-paris(예약확정 TGV INOUI 6618 (1등석 확정 [CONFIRMED]));paris-checkin(예약완료 78 Rue de Lourmel, 75015 Paris (9/24 15:00 체크인 ~ 10/9 11:00 체크아웃));paris-return(현장 선택)",part-dieu-lunch,N,daily-card-pins,A,MATCH
28,2026-09-25,paris,Paris,4,1,3,Standard Home Morning (아침·운동·장보기·점심),15구 숙소 귀환 & 동네 저녁 식사,Tootbus / Big Bus 파리 시티투어 버스 (2층 파노라마 풀 루프 2시간 15분);metro;walk;메트로 8호선 (Lourmel ↔ Concorde/Champs-Élysées),78 Rue de Lourmel (파리 15구),Y,Y,city-bus-tour(Tootbus / Big Bus Discover 티켓 사전 예매);grand-palais-cezanne(사전 시간지정 예약 필수 (17:00 슬롯));paris-return(현장 선택),None,N,daily-card-pins,A,MATCH
29,2026-09-26,paris,Paris,6,4,2,Standard Home Morning (아침·운동·정리·점심),15구 숙소 귀환 & 저녁,metro;walk;메트로 10호선 (La Motte-Picquet ➔ Mabillon/Odéon);파리 좌안(Left Bank) 역사문화 도보,78 Rue de Lourmel (파리 15구),Y,Y,luxembourg-warhol(사전 시간지정 예약 필수 (13:00 슬롯)),None,N,daily-card-pins,A,MATCH
30,2026-09-27,paris,Paris,6,1,5,Standard Home Morning (아침·운동·장보기·점심),15구 숙소 귀환 & 저녁,metro;walk;메트로 8호선 (Lourmel ↔ Concorde);파리 우안 고전 예술·정원 도보,78 Rue de Lourmel (파리 15구),Y,Y,orangerie(사전 시간지정 예약 필수 (13:30 슬롯));opera-garnier-district(내부 입장 선택(옵션)),None,N,daily-card-pins,A,MATCH
31,2026-09-28,paris,Paris,5,2,3,Shortened Home Morning (아침·빠른 준비),15구 숙소 귀환 & 저녁,metro;walk;누벨 아테네 및 마레 지구 패션 도보;메트로 12호선 / 8호선 (15구 ↔ 9구 / 마레),78 Rue de Lourmel (파리 15구),Y,Y,gustave-moreau(사전 시간지정 예약 권장 (10:30 슬롯));opera-lunch(현장 선택),opera-lunch,N,daily-card-pins,A,MATCH
32,2026-09-29,paris,Paris,6,2,4,Art-Heavy Morning (빠른 아침·오르세 출발),15구 숙소 귀환 & 저녁,metro;walk;메트로 8호선 / 12호선 (Lourmel ➔ Solférino);파리 7구 오르세·로댕 도보,78 Rue de Lourmel (파리 15구),Y,Y,musee-d-orsay(사전 시간지정 예약 필수 (09:30 슬롯));rue-du-bac-lunch(현장 선택);musee-rodin(사전 시간지정 예약 권장 (14:30 슬롯)),rue-du-bac-lunch,N,daily-card-pins,A,MATCH
33,2026-09-30,paris,Paris,5,2,3,Shortened Home Morning (아침·빠른 준비),15구 숙소 귀환 & 저녁,metro;walk;메트로 8호선 / 9호선 (15구 ↔ 샹젤리제/알마);몽테뉴 대로 및 센 강변 도보,78 Rue de Lourmel (파리 15구),Y,Y,petit-palais(상설전 무료 자유 입장);champs-elysees-lunch(현장 선택),champs-elysees-lunch,N,daily-card-pins,A,MATCH
34,2026-10-01,paris,Paris,6,5,1,15구 숙소 출발 ➔ RER C ➔ 베르사유 이동,베르사유 ➔ 15구 숙소 귀환 & 저녁,"RER C선 (Javel역 ↔ Versailles Château Rive Gauche역, 직통 25분);train;walk;베르사유 광활한 영지 도보 (궁전 ➔ 정원 ➔ 대운하 ➔ 트리아농)",78 Rue de Lourmel (파리 15구),Y,Y,versailles-transfer(RER C 티켓 / 나비고);versailles-palace(Passport 티켓 사전 시간지정 예약 필수 (10:00 슬롯));versailles-lunch(현장 선택);versailles-gardens(Passport 티켓 포함);trianon-hamlet(Passport 티켓 포함),versailles-lunch,N,daily-card-pins,A,MATCH
35,2026-10-02,paris,Paris,4,1,3,Standard Home Morning (아침·운동·장보기·점심),15구 숙소 귀환 & 저녁,metro;walk;루브르 박물관 회랑 도보;메트로 8호선 + 1호선 (Lourmel ➔ Palais Royal - Musée du Louvre),78 Rue de Lourmel (파리 15구),Y,Y,musee-du-louvre(사전 시간지정 예약 필수 (14:00 슬롯)),None,N,daily-card-pins,A,MATCH
36,2026-10-03,paris,Paris,4,1,3,Standard Home Morning (아침·운동·장보기·점심),15구 조기 귀환 & 저녁 (익일 Arc 대회 휴식),bus;metro;walk;메트로 9호선 (La Muette역) 또는 32번 버스;파리 16구 라늘라 정원 및 파시 도보,78 Rue de Lourmel (파리 15구),Y,Y,marmottan-monet(사전 시간지정 예매 권장 (14:00 슬롯)),None,N,daily-card-pins,A,MATCH
37,2026-10-04,paris,Paris,3,0,3,15구 숙소 출발 ➔ 메트로/셔틀 ➔ ParisLongchamp,파리롱샹 ➔ 15구 숙소 귀환 & 저녁,bus;메트로 10호선 (Porte d'Auteuil역) + France Galop 공식 무료 셔틀버스(Navette);파리롱샹 경마장 보행,78 Rue de Lourmel (파리 15구),Y,Y,longchamp-transfer(Qatar Prix de l'Arc 티켓 (General Admission / Grandstand));prix-de-l-arc(예약확정 Qatar Prix de l'Arc de Triomphe),None,N,daily-card-pins,A,MATCH
38,2026-10-05,paris,Paris,4,1,3,Recovery Morning (느린 기상·브런치·세탁),15구 숙소 귀환 & 저녁,8구 오스만·몽소 도보;metro;walk;메트로 8호선 + 9호선 (Lourmel ➔ Miromesnil),78 Rue de Lourmel (파리 15구),Y,Y,jacquemart-andre(사전 시간지정 예약 권장 (15:00 슬롯)),None,N,daily-card-pins,A,MATCH
39,2026-10-06,paris,Paris,6,4,2,Standard Home Morning (아침·운동·장보기·점심),15구 숙소 귀환 & 저녁,metro;walk;마레 지구 17세기 귀족 저택 도보;메트로 8호선 (Lourmel ↔ Saint-Sébastien - Froissart / Saint-Paul),78 Rue de Lourmel (파리 15구),Y,Y,musee-picasso(사전 시간지정 예약 필수 (13:00 슬롯));musee-carnavalet(상설전 무료 예약 (15:30 권장)),None,N,daily-card-pins,A,MATCH
40,2026-10-07,paris,Paris,5,3,2,Shortened Home Morning (아침·빠른 준비),15구 숙소 귀환 & 저녁,metro;walk;메트로 8호선 / 1호선 / 12호선 (15구 ↔ 레 알 ↔ 몽마르트르 Abbesses);몽마르트르 언덕 돌계단 도보,78 Rue de Lourmel (파리 15구),Y,Y,bourse-de-commerce(사전 시간지정 예매 필수 (10/7 개막일 11:00 슬롯));halles-lunch(현장 선택),halles-lunch,N,daily-card-pins,A,MATCH
41,2026-10-08,paris,Paris,6,2,4,Art-Heavy Morning (빠른 아침·기메 출발),파리 15박 마무리 고별 만찬 (Farewell Dinner) & 숙소 귀환,metro;walk;메트로 9호선 / 6호선 (15구 ↔ Iéna / Trocadéro);이에나 광장 및 트로카데로 도보,78 Rue de Lourmel (파리 15구),Y,Y,musee-guimet(사전 시간지정 예약 권장 (10:00 슬롯));iena-lunch(현장 선택);musee-art-moderne(상설전 무료 자유 입장);farewell-dinner(저녁 예약 필수),iena-lunch;farewell-dinner,N,daily-card-pins,A,MATCH
42,2026-10-09,paris,Paris,4,0,4,15구 숙소 최종 짐 정리 & 체크아웃,CDG 공항 출국 수속 & OZ502 탑승,"taxi;walk;아시아나항공 OZ502 (CDG 19:10 ➔ ICN 10/10 14:10, 확정);파리 공식 택시 (15구 ➔ CDG 터미널 1 정액제 약 60분, €65)",78 Rue de Lourmel (파리 15구),Y,Y,paris-packing-checkout(체크아웃 11:00);cdg-transfer(공식 택시 G7 또는 호텔 콜택시);cdg-departure(예약확정 아시아나항공 OZ502 (CDG 19:10 ➔ ICN 10/10 14:10)),farewell-lunch,N,daily-card-pins,A,MATCH
43,2026-10-10,None,None,3,0,3,기내박 — OZ502 취침 및 수분 섭취,자택 귀환 & 43일 스페인-프랑스 대여정 공식 완결,OZ502 (아시아나);flight;unconfirmed;인천공항 → 귀가 수단 미정,기내 (OZ502) — 숙소 없음,Y,Y,inflight(아시아나항공 OZ502 탑승중),None,N,daily-card-pins,A,MATCH
