id,name,region,legacy_type,normalized_type,priority,content_tier,day_refs,has_dedicated_place_page,current_content_depth,rationale
avignon-centre,avignon-centre,unknown,spot,spot,WORTHWHILE,TIER_B,Day 22,N,NONE,기본 분류 배정
avignon-stay-candidate,avignon-stay-candidate,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
avignon-tgv,avignon-tgv,unknown,spot,spot,WORTHWHILE,TIER_B,Day 23,N,NONE,기본 분류 배정
bar-canete,bar-canete,unknown,spot,spot,WORTHWHILE,TIER_B,Day 03,N,NONE,기본 분류 배정
barcelona-gracia,barcelona-gracia,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
barcelona-historic-walk,Barcelona 역사도심 — Barri Gòtic·Rambla 권역,barcelona,walk,walk,WORTHWHILE,TIER_B,,Y,NONE,고딕~보른~해변으로 이어지는 역사 도보 코스
barcelona-modernisme-walk,Barcelona Modernisme — Eixample 권역,barcelona,walk,walk,WORTHWHILE,TIER_B,,Y,NONE,에이샴플레 모더니즘 건축군 탐방 도보 코스
barcelona-sants,Barcelona Sants,barcelona,node,transit,WORTHWHILE,UTILITY,"Day 01,Day 04",Y,SHORT_DESCRIPTION,TGV/AVE 철도 관문 및 이동 노드 (유틸리티/환승 가이드)
barcelona-stay,barcelona-stay,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
barri-gotic,Barri Gòtic,barcelona,spot,neighborhood,MUST_SEE,TIER_A,Day 03,Y,SHORT_DESCRIPTION,"로마시대~중세 역사 지구, 도보 동선 및 심화 가이드 필수"
bastide-du-jas-de-bouffan,Bastide du Jas de Bouffan,aix,spot,historic_site,WORTHWHILE,TIER_B,,Y,MEDIUM_GUIDE,세잔 가문의 저택 및 초기 작품 배경지
bcn-airport-t1,bcn-airport-t1,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
bellecour,Bellecour,lyon,spot,viewpoint,WORTHWHILE,TIER_B,,Y,SHORT_DESCRIPTION,"프랑스 최대 규모의 보행자 광장, 루이 14세 기마상과 생텍쥐페리 동상"
biblioteca-de-catalunya,Biblioteca de Catalunya,barcelona,spot,historic_site,WORTHWHILE,TIER_B,Day 03,Y,SHORT_DESCRIPTION,"구 산타 크레우 병원 부지, 고딕 양식 중정과 역사 도서관"
bnf-richelieu,BnF Richelieu,paris,spot,architecture,MUST_SEE,TIER_A,,Y,MEDIUM_GUIDE,프랑스 국립도서관 라브루스트 열람실(Salle Labrouste)과 마자랭 갤러리
bnf-richelieu-salle-ovale,bnf-richelieu-salle-ovale,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
bodega-joan,bodega-joan,unknown,spot,spot,WORTHWHILE,TIER_B,Day 02,N,NONE,기본 분류 배정
bonnieux,Bonnieux,luberon,spot,village,WORTHWHILE,TIER_B,,Y,SHORT_DESCRIPTION,뤼베롱 계곡을 마주보는 계단식 언덕 마을
bories-parking,bories-parking,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
bourse-de-commerce-pinault-collection,Bourse de Commerce — Pinault Collection,paris,spot,museum,WORTHWHILE,TIER_B,,Y,SHORT_DESCRIPTION,안도 타다오가 개조한 구 곡물거래소 피노 컬렉션 현대미술관
cadaques,cadaques,unknown,spot,spot,WORTHWHILE,TIER_B,Day 05,N,NONE,기본 분류 배정
cafe-comptoir-abel,cafe-comptoir-abel,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
calanques,Calanques,aix,spot,nature,MUST_SEE,TIER_A,,Y,DEEP_GUIDE,지중해 석회암 피오르드 해안 국립공원 (보트/하이킹)
calella-de-palafrugell,Calella de Palafrugell,girona,spot,village,WORTHWHILE,TIER_B,,Y,DEEP_GUIDE,코스타 브라바의 전통 어촌 해변 마을 및 카미 데 론다
canal-saint-martin,canal-saint-martin,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
cannes,Cannes,nice,spot,village,WORTHWHILE,TIER_B,,Y,NONE,"영화제의 도시, 크루아제트 해변과 르 쉬케 언덕"
cannes-forville-suquet-croisette-walk,cannes-forville-suquet-croisette-walk,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
cannes-walk,Cannes Forville–Suquet–Croisette Walk,nice,walk,walk,OPTIONAL,TIER_C,,Y,SHORT_DESCRIPTION,칸 크루아제트~르 쉬케 도보 코스
carrieres-de-bibemus,Carrières de Bibémus,aix,spot,historic_site,WORTHWHILE,TIER_B,,Y,SHORT_DESCRIPTION,"붉은 사암 채석장, 세잔 입체주의적 시각의 탄생지"
carrieres-des-lumieres,Carrières des Lumières,avignon,spot,museum,MUST_SEE,TIER_A,,Y,DEEP_GUIDE,거대 채석장 동굴 벽면의 몰입형 미디어 아트 전시
casa-marieta,casa-marieta,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
cassis,Cassis 항구,aix,spot,village,MUST_SEE,TIER_A,,Y,SHORT_DESCRIPTION,"파스텔톤 항구와 백와인, 칼랑크 국립공원의 거점 마을"
castle-hill-elevator,castle-hill-elevator,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
cathedrale-saint-jean,cathedrale-saint-jean,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
cau-ferrat,Cau Ferrat,barcelona,spot,museum,WORTHWHILE,TIER_B,,Y,DEEP_GUIDE,"시체스 루시뇰 아틀리에 미술관, 카탈루냐 모더니즘 핵심 컬렉션"
cdg-airport,cdg-airport,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
cem-joan-miro,cem-joan-miro,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
centre-pompidou,Centre Pompidou,paris,spot,museum,WORTHWHILE,TIER_B,,Y,SHORT_DESCRIPTION,렌조 피아노의 하이테크 건축과 국립현대미술관
chateau-royal-de-collioure,chateau-royal-de-collioure,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
chemin-du-fauvisme,chemin-du-fauvisme,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
chez-mamie-lise,chez-mamie-lise,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
chez-pipo,chez-pipo,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
cloitre-saint-trophime,Cloître Saint-Trophime,avignon,spot,architecture,WORTHWHILE,TIER_B,Day 22,Y,SHORT_DESCRIPTION,로마네스크/고딕 양식의 생 트로핌 성당 중정 회랑
clos-montmartre,clos-montmartre,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
cn-atletic-barceloneta,cn-atletic-barceloneta,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
colline-du-chateau,Colline du Château (성채 언덕),nice,spot,viewpoint,MUST_SEE,TIER_B,Day 08,Y,SHORT_DESCRIPTION,천사의 만과 니스 구시가지 최고의 파노라마 전망 언덕
collioure,Collioure,girona,spot,village,MUST_SEE,TIER_A,Day 05,Y,NONE,"야수파 마티스의 고향, 프랑스 국경 해안 요새 마을"
cours-mirabeau,Cours Mirabeau,aix,spot,neighborhood,MUST_SEE,TIER_A,,Y,DEEP_GUIDE,플라타너스 가로수와 분수대가 늘어선 엑스의 중심 거리
vieil-aix,Vieil Aix — 구시가지,aix,spot,neighborhood,MUST_SEE,TIER_A,Day 13,Y,DEEP_GUIDE,"로마 온천 도시 위에 지어진 엑상프로방스의 우아한 바로크 미로 구시가지"
cours-mirabeau-4,cours-mirabeau-4,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
cours-saleya,Cours Saleya,nice,spot,market,MUST_SEE,UTILITY,Day 08,Y,SHORT_DESCRIPTION,구시가지 꽃시장·청과시장·먹거리 마켓
coustellet,Coustellet 생산자 시장,luberon,spot,market,WORTHWHILE,UTILITY,Day 16,Y,SHORT_DESCRIPTION,뤼베롱 일요 농민 직거래 시장 거점
croix-rousse,Croix-Rousse,lyon,spot,neighborhood,MUST_SEE,TIER_A,,Y,MEDIUM_GUIDE,"견직공(Canuts)의 역사 언덕, 벽화, 공방과 계단길"
daniel-et-denise-crequi,daniel-et-denise-crequi,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
days,days,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
eze,eze,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
far-de-tossa,far-de-tossa,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
fonda-cal-ros,fonda-cal-ros,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
fondation-maeght,fondation-maeght,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
fondation-vincent-van-gogh-arles,Fondation Vincent van Gogh Arles,avignon,spot,museum,WORTHWHILE,TIER_B,,Y,SHORT_DESCRIPTION,반 고흐의 예술적 유산과 현대미술 기획전
fort-saint-jean,Fort Saint-Jean,aix,spot,historic_site,WORTHWHILE,TIER_B,Day 14,Y,SHORT_DESCRIPTION,17세기 항구 요새 및 구름다리 보행로
fou-de-fafa,fou-de-fafa,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
fourviere,Fourvière,lyon,spot,architecture,MUST_SEE,TIER_A,Day 24,Y,MEDIUM_GUIDE,푸르비에르 언덕 노트르담 바실리카 및 리옹 시내 조망
fourviere-lugdunum,fourviere-lugdunum,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
generatedAt,generatedAt,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
girona-call,girona-call,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
girona-cathedral,Girona Cathedral,girona,spot,architecture,MUST_SEE,TIER_A,,Y,FACTS_ONLY,"단일 신랑 세계 최대 폭 고딕 성당, 지로나 랜드마크"
girona-old-town-walk,Girona 구시가지 — Call·성벽·대성당 권역,girona,walk,walk,WORTHWHILE,TIER_B,,Y,NONE,유대인 지구(El Call)와 중세 골목 도보 탐방
girona-stay-private,girona-stay-private,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
giverny,Giverny,paris,spot,historic_site,MUST_SEE,TIER_A,,Y,SHORT_DESCRIPTION,클로드 모네의 집과 수련 연못 정원
giverny-fondation-claude-monet,giverny-fondation-claude-monet,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
glanum,Glanum,avignon,spot,historic_site,WORTHWHILE,TIER_B,,Y,SHORT_DESCRIPTION,갈로-로마 시대 고대 도시 유적 및 개선문/묘탑
gordes,Gordes,luberon,spot,village,MUST_SEE,TIER_A,Day 18,Y,MEDIUM_GUIDE,뤼베롱을 대표하는 절벽 위 석조 요새 마을
goult,Goult,luberon,spot,village,WORTHWHILE,TIER_B,Day 17,Y,SHORT_DESCRIPTION,관광객이 적고 풍차가 있는 조용한 뤼베롱 숨은 보석 마을
gout-bistrot,gout-bistrot,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
grand-palais,Grand Palais,paris,spot,architecture,WORTHWHILE,TIER_B,,Y,DEEP_GUIDE,1900년 만국박람회 유리 돔 궁전 및 기획전
grand-palais-cezanne-et-nous,grand-palais-cezanne-et-nous,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
grasse,Grasse,aix,spot,village,WORTHWHILE,TIER_B,Day 12,Y,SHORT_DESCRIPTION,"세계 향수의 수도, 프라고나르 향수 공방과 역사 지구"
grasse-parking-notre-dame-des-fleurs,grasse-parking-notre-dame-des-fleurs,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
grasse-vieille-ville,grasse-vieille-ville,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
halles-de-lyon-paul-bocuse,Halles de Lyon Paul Bocuse,lyon,spot,market,MUST_SEE,UTILITY,,Y,MEDIUM_GUIDE,"미식의 수도 리옹의 미식 상설 홀, 최고급 식재료와 부숑"
hertz-avignon-tgv,hertz-avignon-tgv,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
hertz-barcelona-sants,hertz-barcelona-sants,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
hertz-bcn-airport,hertz-bcn-airport,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
hertz-nice-ville,hertz-nice-ville,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
hippodrome-parislongchamp,hippodrome-parislongchamp,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
jardin-des-tuileries,jardin-des-tuileries,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
jardin-du-luxembourg,jardin-du-luxembourg,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
ju-maison-de-cuisine,ju-maison-de-cuisine,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
l-isle-sur-la-sorgue,L’Isle-sur-la-Sorgue,luberon,spot,village,WORTHWHILE,TIER_B,,Y,NONE,소르그 강의 물레방아와 프랑스 최대 앤틱 시장의 도시
la-fourchette,la-fourchette,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
la-paradeta-sagrada-familia,la-paradeta-sagrada-familia,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
la-roca-peratallada,la-roca-peratallada,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
la-roquette,La Roquette,avignon,spot,neighborhood,OPTIONAL,TIER_C,Day 22,Y,SHORT_DESCRIPTION,아를 론 강변의 옛 어부 지구 및 현지인 주거 골목
la-table-alziari,la-table-alziari,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
la-zorra,la-zorra,unknown,spot,spot,WORTHWHILE,TIER_B,Day 04,N,NONE,기본 분류 배정
latin-quarter,Latin Quarter,paris,spot,neighborhood,MUST_SEE,TIER_A,,Y,SHORT_DESCRIPTION,"소르본 대학, 팡테옹, 룩셈부르크 공원과 서점 거리"
latin-quarter-pantheon-rue-mouffetard-sorbonne-ile-saint-lou,latin-quarter-pantheon-rue-mouffetard-sorbonne-ile-saint-lou,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
le-criquet-arles,le-criquet-arles,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
le-freti,le-freti,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
le-gout-du-jour,le-gout-du-jour,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
le-marais,Le Marais,paris,spot,neighborhood,MUST_SEE,TIER_A,,Y,MEDIUM_GUIDE,"보주 광장, 귀족 저택 오텔 파르티퀼리에, 부티크와 갤러리"
le-marais-place-des-vosges-carnavalet-archives,le-marais-place-des-vosges-carnavalet-archives,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
le-panier,Le Panier,aix,spot,neighborhood,WORTHWHILE,TIER_B,Day 14,Y,SHORT_DESCRIPTION,"마르세유 최고(最古)의 언덕 골목 지구, 예술 공방과 벽화"
le-rocher,Le Rocher — 모나코 구시가지,nice,spot,historic_site,WORTHWHILE,TIER_B,Day 10,Y,SHORT_DESCRIPTION,모나코 대공궁과 구시가지가 위치한 바위 언덕 요새
le-suquet,Le Suquet — 칸 구시가지,nice,spot,neighborhood,WORTHWHILE,TIER_B,Day 09,Y,SHORT_DESCRIPTION,"칸 구시가지 언덕, 성채 박물관과 칸 만 전망"
le-suquet-cannes,le-suquet-cannes,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
les-baux-de-provence,Les Baux-de-Provence,avignon,spot,historic_site,MUST_SEE,TIER_A,,Y,SHORT_DESCRIPTION,석회암 바위산 위 중세 요새 성채 마을
les-cocottes-saint-louis,les-cocottes-saint-louis,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
les-halles,Les Halles,avignon,spot,neighborhood,WORTHWHILE,TIER_B,Day 20,Y,SHORT_DESCRIPTION,"파리의 심장, 카노페 건축과 생퇴스타슈 성당"
les-halles-avignon,les-halles-avignon,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
les-halles-d-avignon,les-halles-d-avignon,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
lignes-dazur,lignes-dazur,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
lisle-sur-la-sorgue,lisle-sur-la-sorgue,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
llibreria-finestres,llibreria-finestres,unknown,spot,spot,WORTHWHILE,TIER_B,Day 03,N,NONE,기본 분류 배정
lourmarin,Lourmarin,luberon,spot,village,MUST_SEE,TIER_A,Day 16,Y,DEEP_GUIDE,"알베르 카뮈의 영면지, 르네상스 성과 금요 시장의 세련된 마을"
luberon-stay-candidate,luberon-stay-candidate,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
lugdunum,lugdunum,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
lyon-part-dieu,lyon-part-dieu,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
lyon-stay-candidate,lyon-stay-candidate,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
macba,MACBA,barcelona,spot,museum,WORTHWHILE,TIER_B,Day 03,Y,SHORT_DESCRIPTION,라발 지구의 현대미술관 및 광장 스케이터 문화 중심지
maison-des-canuts,maison-des-canuts,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
marche-collioure,marche-collioure,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
marche-croix-rousse,marche-croix-rousse,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
marche-de-la-liberation,Marché de la Libération,nice,spot,market,WORTHWHILE,UTILITY,Day 11,Y,SHORT_DESCRIPTION,현지 주민 중심의 니스 최대 로컬 식료품 시장
marche-forville,Marché Forville,nice,spot,market,WORTHWHILE,UTILITY,Day 09,Y,SHORT_DESCRIPTION,칸 최고의 프로방스 상설 시장
marche-gordes,marche-gordes,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
marche-provencal-antibes,marche-provencal-antibes,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
marseille,Marseille,aix,spot,neighborhood,WORTHWHILE,TIER_B,,Y,SHORT_DESCRIPTION,"프랑스 제2의 항구도시, 복합 문화와 지중해 관문"
marseille-le-panier,marseille-le-panier,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
marseille-saint-charles,marseille-saint-charles,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
marseille-vieux-port,marseille-vieux-port,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
menerbes,Ménerbes,luberon,spot,village,WORTHWHILE,TIER_B,Day 18,Y,SHORT_DESCRIPTION,"피터 메일의 소설 배경지, 고즈넉한 성채 마을"
mercat-de-la-concepcio,mercat-de-la-concepcio,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
mercat-del-lleo,mercat-del-lleo,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
monaco,Monaco,nice,spot,village,WORTHWHILE,TIER_B,,Y,NONE,"모나코 공국, 르 로셰와 몬테카를로"
menton,Menton,nice,spot,village,MUST_SEE,TIER_B,Day 10,Y,SHORT_DESCRIPTION,"프랑스·이탈리아 국경의 파스텔톤 구시가지와 바로크 생 미셸 대성당"
monaco-rocher-port-monte-carlo-walk,monaco-rocher-port-monte-carlo-walk,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
monaco-walk,Monaco Rocher–Port–Monte Carlo Walk,nice,walk,walk,OPTIONAL,TIER_C,,Y,MEDIUM_GUIDE,헤라클레스 항구~대공궁~몬테카를로 도보 코스
montagne-sainte-victoire-terrain-des-peintres,Montagne Sainte-Victoire · Terrain des Peintres,aix,spot,viewpoint,MUST_SEE,TIER_A,,Y,MEDIUM_GUIDE,생트 빅투아르 산을 조망하는 세잔의 야외 화판 언덕
montmartre-south-pigalle,Montmartre · South Pigalle,paris,spot,neighborhood,MUST_SEE,TIER_A,,Y,SHORT_DESCRIPTION,"사크레쾨르, 테르트르 광장, 예술가 거점과 피갈 카페거리"
montorgueil,Montorgueil,paris,spot,neighborhood,WORTHWHILE,TIER_B,,Y,SHORT_DESCRIPTION,파리에서 가장 오래된 보행자 미식 보행자 거리 (스토레 등)
montorgueil-les-halles,montorgueil-les-halles,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
mucem,Mucem,aix,spot,museum,MUST_SEE,TIER_A,Day 14,Y,SHORT_DESCRIPTION,"유럽·지중해 문명 박물관, 루디 리치오티의 레이스 콘크리트 건축"
musee-chagall,musee-chagall,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
musee-d-orsay,Musée d'Orsay,paris,spot,museum,MUST_SEE,TIER_A,Day 32,Y,DEEP_GUIDE,구 기차역을 개조한 19세기 인상파·후기인상파의 성지
musee-de-l-orangerie,Musée de l'Orangerie,paris,spot,museum,MUST_SEE,TIER_A,,Y,SHORT_DESCRIPTION,모네의 거대한 <수련> 연작 타원형 전용 전시실
musee-de-l-orangerie-monet-peindre-le-temps,musee-de-l-orangerie-monet-peindre-le-temps,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
musee-de-la-photographie-charles-negre,musee-de-la-photographie-charles-negre,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
musee-des-beaux-arts-lyon,musee-des-beaux-arts-lyon,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
musee-des-tissus,musee-des-tissus,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
musee-du-louvre,Musée du Louvre,paris,spot,museum,MUST_SEE,TIER_A,,Y,MEDIUM_GUIDE,"세계 최대 박물관, 모나리자·밀로의 비너스·사모트라케의 니케"
musee-explorations-du-monde,musee-explorations-du-monde,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
musee-gadagne,musee-gadagne,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
musee-granet,Musée Granet,aix,spot,museum,WORTHWHILE,TIER_B,Day 13,Y,MEDIUM_GUIDE,"엑스 대표 미술관, 세잔 및 인상파/현대 회화 컬렉션"
musee-marmottan-monet,Musée Marmottan Monet,paris,spot,museum,WORTHWHILE,TIER_B,,Y,SHORT_DESCRIPTION,"모네 <인상, 해돋이> 원작을 소장한 저택 미술관"
musee-matisse-nice,musee-matisse-nice,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
musee-photographie-charles-negre,musee-photographie-charles-negre,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
musee-picasso-antibes,musee-picasso-antibes,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
museu-de-maricel,museu-de-maricel,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
museum-of-jewish-history,museum-of-jewish-history,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
navigo-idfm,navigo-idfm,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
nce-t2,NCE T2,nice,node,transit,WORTHWHILE,UTILITY,,Y,NONE,니스 코트다쥐르 공항 T2 환승 노드
nice-airport-terminal-2,nice-airport-terminal-2,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
nice-old-town-castle-hill-walk,nice-old-town-castle-hill-walk,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
nice-stay-candidate,nice-stay-candidate,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
nice-ville,Nice-Ville,nice,node,transit,WORTHWHILE,UTILITY,"Day 09,Day 10",Y,NONE,니스 빌 중앙 철도역 노드
nice-walk,Nice Old Town–Castle Hill Walk,nice,walk,walk,WORTHWHILE,TIER_B,,Y,MEDIUM_GUIDE,마세나 광장~구시가지~살레야~성 언덕 도보 코스
nocturnes-avignon-musees,nocturnes-avignon-musees,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
