day,segment_id,origin,destination,mode,expected_origin,expected_destination,map_status,card_status,endpoint_status,final_status
7,day-07-leg-02,bcn-airport-return,vy1521,flight,BCN 공항 T1 렌터카 반납,VY1521 → NCE 도착,COMPLETE,COMPLETE,PASS_MATCH,PASS
7,day-07-leg-03,vy1521,nice-checkin,tram,VY1521 → NCE 도착,Nice 체크인 — Palais ALZIRA,COMPLETE,COMPLETE,PASS_MATCH,PASS
7,day-07-leg-04,nice-checkin,promenade,walk,Nice 체크인 — Palais ALZIRA,숙소 주변 산책 및 가벼운 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
7,day-07-leg-05,promenade,nice-stay-return,walk,숙소 주변 산책 및 가벼운 저녁,숙소 귀환,COMPLETE,COMPLETE,PASS_MATCH,PASS
8,day-08-leg-01,cours-saleya,vieux-nice,walk,Cours Saleya 시장,Vieux Nice 구시가지,COMPLETE,COMPLETE,PASS_MATCH,PASS
8,day-08-leg-02,vieux-nice,vieux-nice-lunch,walk,Vieux Nice 구시가지,구시가지 점심 — 니스와즈 요리,COMPLETE,COMPLETE,PASS_MATCH,PASS
8,day-08-leg-03,vieux-nice-lunch,castle-hill,walk,구시가지 점심 — 니스와즈 요리,Colline du Château,COMPLETE,COMPLETE,PASS_MATCH,PASS
8,day-08-leg-04,castle-hill,promenade,walk,Colline du Château,Promenade des Anglais,COMPLETE,COMPLETE,PASS_MATCH,PASS
8,day-08-leg-05,promenade,port-lympia,walk,Promenade des Anglais,Port Lympia 산책 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
8,day-08-leg-06,port-lympia,nice-stay-return,walk,Port Lympia 산책 & 저녁,숙소 귀환 — Palais ALZIRA,COMPLETE,COMPLETE,PASS_MATCH,PASS
9,day-09-leg-01,nice-ville,antibes-old-town,train,Nice-Ville역 출발 ➔ Antibes 이동,Vieil Antibes & Marché Provençal,COMPLETE,COMPLETE,PASS_MATCH,PASS
9,day-09-leg-02,antibes-old-town,le-figuier-de-saint-esprit,walk,Vieil Antibes & Marché Provençal,Le Figuier de Saint-Esprit 점심 (WISH-01),COMPLETE,COMPLETE,PASS_MATCH,PASS
9,day-09-leg-03,le-figuier-de-saint-esprit,cannes-transfer,train,Le Figuier de Saint-Esprit 점심 (WISH-01),Antibes ➔ Cannes TER 이동,COMPLETE,COMPLETE,PASS_MATCH,PASS
9,day-09-leg-04,cannes-transfer,le-suquet,walk,Antibes ➔ Cannes TER 이동,Le Suquet & 구시가지 언덕,COMPLETE,COMPLETE,PASS_MATCH,PASS
9,day-09-leg-05,le-suquet,croisette,walk,Le Suquet & 구시가지 언덕,Boulevard de la Croisette,COMPLETE,COMPLETE,PASS_MATCH,PASS
9,day-09-leg-06,croisette,cannes-station,walk,Boulevard de la Croisette,Gare de Cannes ➔ Nice TER 탑승,COMPLETE,COMPLETE,PASS_MATCH,PASS
9,day-09-leg-07,cannes-station,nice-return,train,Gare de Cannes ➔ Nice TER 탑승,Nice-Ville 도착 ➔ 숙소 귀환,COMPLETE,COMPLETE,PASS_MATCH,PASS
10,day-10-leg-01,nice-ville,le-rocher,train,Nice-Ville역 출발 ➔ Monaco 이동,Le Rocher / Monaco-Ville 대공궁 언덕,COMPLETE,COMPLETE,PASS_MATCH,PASS
10,day-10-leg-02,le-rocher,monaco-port-lunch,walk,Le Rocher / Monaco-Ville 대공궁 언덕,Monaco Port Hercule & Monte-Carlo 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
10,day-10-leg-03,monaco-port-lunch,menton,train,Monaco Port Hercule & Monte-Carlo 점심,Menton 구시가지 & 사블레트 해변,COMPLETE,COMPLETE,PASS_MATCH,PASS
10,day-10-leg-04,menton,menton-dinner,walk,Menton 구시가지 & 사블레트 해변,Menton 저녁 — Le Petit Port,COMPLETE,COMPLETE,PASS_MATCH,PASS
10,day-10-leg-05,menton-dinner,nice-return,train,Menton 저녁 — Le Petit Port,Menton ➔ Nice-Ville 복귀 ➔ 숙소,COMPLETE,COMPLETE,PASS_MATCH,PASS
11,day-11-leg-01,nice-ville,villefranche-sur-mer,train,Nice 숙소 출발 ➔ Villefranche 이동,Villefranche-sur-Mer 구시가지 & 항만 산책,COMPLETE,COMPLETE,PASS_MATCH,PASS
11,day-11-leg-02,villefranche-sur-mer,villa-ephrussi,bus,Villefranche-sur-Mer 구시가지 & 항만 산책,Villa Ephrussi de Rothschild & 테마 정원,COMPLETE,COMPLETE,PASS_MATCH,PASS
11,day-11-leg-03,villa-ephrussi,restaurant-beatrice,walk,Villa Ephrussi de Rothschild & 테마 정원,Restaurant & Salon de Thé Béatrice 점심 (WISH-02),COMPLETE,COMPLETE,PASS_MATCH,PASS
11,day-11-leg-04,restaurant-beatrice,eze-village,bus,Restaurant & Salon de Thé Béatrice 점심 (WISH-02),Èze Village 중세 절벽마을 & 이국적 정원,COMPLETE,COMPLETE,PASS_MATCH,PASS
11,day-11-leg-05,eze-village,nice-stay-prep,bus,Èze Village 중세 절벽마을 & 이국적 정원,Nice 복귀 ➔ 숙소 휴식 & 9/9 렌터카 준비,COMPLETE,COMPLETE,PASS_MATCH,PASS
12,day-12-leg-01,nice-checkout,nice-station-pickup,walk,Nice 숙소 체크아웃 — Palais ALZIRA,Nice-Ville역 Hertz 렌터카 인수,COMPLETE,COMPLETE,PASS_MATCH,PASS
12,day-12-leg-02,nice-station-pickup,saint-paul,car,Nice-Ville역 Hertz 렌터카 인수,Saint-Paul-de-Vence,COMPLETE,COMPLETE,PASS_MATCH,PASS
12,day-12-leg-03,saint-paul,grasse,car,Saint-Paul-de-Vence,Grasse 점심 & Fragonard 역사공장,COMPLETE,COMPLETE,PASS_MATCH,PASS
12,day-12-leg-04,grasse,aix-checkin,car,Grasse 점심 & Fragonard 역사공장,Aix 숙소 체크인,COMPLETE,COMPLETE,PASS_MATCH,PASS
12,day-12-leg-05,aix-checkin,rotonde,walk,Aix 숙소 체크인,Place de la Rotonde & Cours Mirabeau 첫 산책,COMPLETE,COMPLETE,PASS_MATCH,PASS
12,day-12-leg-06,rotonde,aix-stay-return,walk,Place de la Rotonde & Cours Mirabeau 첫 산책,숙소권 저녁 식사 & 휴식,COMPLETE,COMPLETE,PASS_MATCH,PASS
13,day-13-leg-01,place-richelme-place-des-precheurs,vieil-aix,walk,Place Richelme 목요 시장 & Pâtisserie Weibel,Vieil Aix 구시가지 & 세잔의 흔적,COMPLETE,COMPLETE,PASS_MATCH,PASS
13,day-13-leg-02,vieil-aix,aix-lunch,walk,Vieil Aix 구시가지 & 세잔의 흔적,Vieil Aix 구시가지 점심 식사,COMPLETE,COMPLETE,PASS_MATCH,PASS
13,day-13-leg-03,aix-lunch,atelier-des-lauves,walk,Vieil Aix 구시가지 점심 식사,Atelier des Lauves (세잔의 아틀리에),COMPLETE,COMPLETE,PASS_MATCH,PASS
13,day-13-leg-04,atelier-des-lauves,musee-granet,walk,Atelier des Lauves (세잔의 아틀리에),Musée Granet (그라네 미술관),COMPLETE,COMPLETE,PASS_MATCH,PASS
13,day-13-leg-05,musee-granet,cours-mirabeau,walk,Musée Granet (그라네 미술관),Cours Mirabeau & 마자랭 지구 산책,COMPLETE,COMPLETE,PASS_MATCH,PASS
13,day-13-leg-06,cours-mirabeau,aix-stay-return,walk,Cours Mirabeau & 마자랭 지구 산책,숙소 귀환 & 휴식,COMPLETE,COMPLETE,PASS_MATCH,PASS
14,day-14-leg-01,aix-depart,cassis-parking,car,Aix 숙소 출발 — 렌터카,Cassis 도착 & 주차,COMPLETE,COMPLETE,PASS_MATCH,PASS
14,day-14-leg-02,cassis-parking,calanques,walk,Cassis 도착 & 주차,Calanques 국립공원 유람선 투어,COMPLETE,COMPLETE,PASS_MATCH,PASS
14,day-14-leg-03,calanques,cassis,walk,Calanques 국립공원 유람선 투어,Chez Gilbert 점심 (Cassis 항구),COMPLETE,COMPLETE,PASS_MATCH,PASS
14,day-14-leg-04,cassis,cassis-port-miou,walk,Chez Gilbert 점심 (Cassis 항구),Port-Miou 해안 트레일 초입 산책,COMPLETE,COMPLETE,PASS_MATCH,PASS
14,day-14-leg-05,cassis-port-miou,aix-return,car,Port-Miou 해안 트레일 초입 산책,Cassis ➔ Aix 귀환 (차량),COMPLETE,COMPLETE,PASS_MATCH,PASS
14,day-14-leg-06,aix-return,aix-stay-return,walk,Cassis ➔ Aix 귀환 (차량),숙소 귀환 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
15,day-15-leg-01,aix-station,vieux-port-marseille,train,Aix-en-Provence역 출발 ➔ Marseille 이동 (TER),Vieux-Port (마르세유 구항구),COMPLETE,COMPLETE,PASS_MATCH,PASS
15,day-15-leg-02,vieux-port-marseille,le-panier,walk,Vieux-Port (마르세유 구항구),Le Panier (르 파니에 역사 골목),COMPLETE,COMPLETE,PASS_MATCH,PASS
15,day-15-leg-03,le-panier,fort-saint-jean,walk,Le Panier (르 파니에 역사 골목),Fort Saint-Jean & Mucem (유럽지중해문명박물관),COMPLETE,COMPLETE,PASS_MATCH,PASS
15,day-15-leg-04,fort-saint-jean,marseille-lunch,walk,Fort Saint-Jean & Mucem (유럽지중해문명박물관),Vieux-Port 마르세유 항구 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
15,day-15-leg-05,marseille-lunch,notre-dame-de-la-garde,bus,Vieux-Port 마르세유 항구 점심,Notre-Dame de la Garde (노트르담 드 라 가르드),COMPLETE,COMPLETE,PASS_MATCH,PASS
15,day-15-leg-06,notre-dame-de-la-garde,vallon-des-auffes,bus,Notre-Dame de la Garde (노트르담 드 라 가르드),Vallon des Auffes & 코르니슈 (선택),COMPLETE,COMPLETE,PASS_MATCH,PASS
15,day-15-leg-07,vallon-des-auffes,marseille-station,bus,Vallon des Auffes & 코르니슈 (선택),Marseille Saint-Charles역 복귀 ➔ Aix TER 탑승,COMPLETE,COMPLETE,PASS_MATCH,PASS
15,day-15-leg-08,marseille-station,aix-stay-return,train,Marseille Saint-Charles역 복귀 ➔ Aix TER 탑승,Aix 숙소 귀환 & 익일 Luberon 이동 준비,COMPLETE,COMPLETE,PASS_MATCH,PASS
16,day-16-leg-01,aix-checkout,lourmarin,car,Aix 숙소 체크아웃 & 차량 적재,Lourmarin 마을 & 르네상스 샤토 외관,COMPLETE,COMPLETE,PASS_MATCH,PASS
16,day-16-leg-02,lourmarin,coustellet,car,Lourmarin 마을 & 르네상스 샤토 외관,Marché Paysan de Coustellet & 장보기,COMPLETE,COMPLETE,PASS_MATCH,PASS
16,day-16-leg-03,coustellet,goult,car,Marché Paysan de Coustellet & 장보기,Goult 체크인 전 완충 & 카페,COMPLETE,COMPLETE,PASS_MATCH,PASS
16,day-16-leg-04,goult,farm-checkin,car,Goult 체크인 전 완충 & 카페,Domaine des Peyre 농가 체크인 & 테라스 첫 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
17,day-17-leg-01,farm-depart,sentier-ocres,car,농가 숙소 아침 & 출발,Sentier des Ocres (오커 트레일),COMPLETE,COMPLETE,PASS_MATCH,PASS
17,day-17-leg-02,sentier-ocres,roussillon,walk,Sentier des Ocres (오커 트레일),Roussillon 구시가지 & 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
17,day-17-leg-03,roussillon,farm-rest,car,Roussillon 구시가지 & 점심,농가 숙소 한낮 휴식 (Siesta),COMPLETE,COMPLETE,PASS_MATCH,PASS
17,day-17-leg-04,farm-rest,goult,car,농가 숙소 한낮 휴식 (Siesta),Goult 조용한 생활마을 & 풍차 언덕,COMPLETE,COMPLETE,PASS_MATCH,PASS
17,day-17-leg-05,goult,farm-return,car,Goult 조용한 생활마을 & 풍차 언덕,농가 숙소 복귀 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
18,day-18-leg-01,farm-depart,gordes,car,농가 숙소 조기 출발 ➔ Gordes 이동,Gordes 화요 대형 시장 & 벨베데레 전망,COMPLETE,COMPLETE,PASS_MATCH,PASS
18,day-18-leg-02,gordes,village-des-bories,car,Gordes 화요 대형 시장 & 벨베데레 전망,Village des Bories (돌의 문화),COMPLETE,COMPLETE,PASS_MATCH,PASS
18,day-18-leg-03,village-des-bories,picnic,walk,Village des Bories (돌의 문화),Gordes 시장 재료 피크닉 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
18,day-18-leg-04,picnic,senanque,car,Gordes 시장 재료 피크닉 점심,Abbaye de Sénanque (세낭크 수도원 외관),COMPLETE,COMPLETE,PASS_MATCH,PASS
18,day-18-leg-05,senanque,menerbes,car,Abbaye de Sénanque (세낭크 수도원 외관),Ménerbes (한적한 언덕마을 산책),COMPLETE,COMPLETE,PASS_MATCH,PASS
18,day-18-leg-06,menerbes,farm-return,car,Ménerbes (한적한 언덕마을 산책),농가 복귀 & 익일 Avignon 이동 준비,COMPLETE,COMPLETE,PASS_MATCH,PASS
19,day-19-leg-01,farm-checkout,avignon-parking-lunch,car,농가 숙소 체크아웃 & 출발,Les Halles d'Avignon 주변 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
19,day-19-leg-02,avignon-parking-lunch,avignon-checkin,walk,Les Halles d'Avignon 주변 점심,Avignon 숙소 체크인,COMPLETE,COMPLETE,PASS_MATCH,PASS
19,day-19-leg-03,avignon-checkin,teinturiers-walls,walk,Avignon 숙소 체크인,Rue des Teinturiers & 성벽 오리엔테이션,COMPLETE,COMPLETE,PASS_MATCH,PASS
19,day-19-leg-04,teinturiers-walls,avignon-return,walk,Rue des Teinturiers & 성벽 오리엔테이션,Fou de Fafa 아비뇽 첫 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
20,day-20-leg-01,les-halles,palais,walk,Les Halles d'Avignon 아침 시장,Palais des Papes (교황청 궁전),COMPLETE,COMPLETE,PASS_MATCH,PASS
20,day-20-leg-02,palais,palais-lunch,walk,Palais des Papes (교황청 궁전),교황청 광장 비스트로 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
20,day-20-leg-03,palais-lunch,rocher-doms,walk,교황청 광장 비스트로 점심,Rocher des Doms (돔 바위 정원),COMPLETE,COMPLETE,PASS_MATCH,PASS
20,day-20-leg-04,rocher-doms,pont,walk,Rocher des Doms (돔 바위 정원),Pont Saint-Bénézet (아비뇽 다리),COMPLETE,COMPLETE,PASS_MATCH,PASS
20,day-20-leg-05,pont,vieil-avignon,walk,Pont Saint-Bénézet (아비뇽 다리),Vieil Avignon 구시가지 산책,COMPLETE,COMPLETE,PASS_MATCH,PASS
20,day-20-leg-06,vieil-avignon,avignon-return,walk,Vieil Avignon 구시가지 산책,Les Cocottes Saint-Louis 저녁 식사,COMPLETE,COMPLETE,PASS_MATCH,PASS
21,day-21-leg-01,avignon-depart,uzes,car,Avignon 숙소 출발 ➔ Uzès 이동,Uzès 구시가지 & 에르브 광장,COMPLETE,COMPLETE,PASS_MATCH,PASS
21,day-21-leg-02,uzes,uzes-lunch,walk,Uzès 구시가지 & 에르브 광장,Uzès Place aux Herbes 광장 테라스 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
21,day-21-leg-03,uzes-lunch,pont-du-gard,car,Uzès Place aux Herbes 광장 테라스 점심,Pont du Gard (퐁 뒤 가르 수로교),COMPLETE,COMPLETE,PASS_MATCH,PASS
21,day-21-leg-04,pont-du-gard,avignon-return,car,Pont du Gard (퐁 뒤 가르 수로교),Avignon 복귀 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
22,day-22-leg-01,avignon-centre,arenes,train,Avignon Centre역 ➔ Arles 이동 (TER),Arènes d'Arles (아를 원형경기장),COMPLETE,COMPLETE,PASS_MATCH,PASS
22,day-22-leg-02,arenes,theatre,walk,Arènes d'Arles (아를 원형경기장),Théâtre Antique & 공화국 광장,COMPLETE,COMPLETE,PASS_MATCH,PASS
22,day-22-leg-03,theatre,forum-lunch,walk,Théâtre Antique & 공화국 광장,Le Gibolin 점심 (아를 로케트 지구),COMPLETE,COMPLETE,PASS_MATCH,PASS
22,day-22-leg-04,forum-lunch,saint-trophime,walk,Le Gibolin 점심 (아를 로케트 지구),Cloître Saint-Trophime (생트로핌 회랑),COMPLETE,COMPLETE,PASS_MATCH,PASS
22,day-22-leg-05,saint-trophime,la-roquette,walk,Cloître Saint-Trophime (생트로핌 회랑),La Roquette 구시가지 & 론 강변,COMPLETE,COMPLETE,PASS_MATCH,PASS
22,day-22-leg-06,la-roquette,avignon-return,train,La Roquette 구시가지 & 론 강변,Arles ➔ Avignon 귀환 & 마지막 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
23,day-23-leg-01,avignon-checkout,avignon-tgv,car,Avignon 숙소 체크아웃 & 차량 적재,Avignon TGV역 Hertz 렌터카 반납 & 역사 진입,COMPLETE,COMPLETE,PASS_MATCH,PASS
23,day-23-leg-02,avignon-tgv,part-dieu,train,Avignon TGV역 Hertz 렌터카 반납 & 역사 진입,TGV INOUI 12176 탑승 (10:22 발차 ➔ 11:28 Lyon 도착),COMPLETE,COMPLETE,PASS_MATCH,PASS
23,day-23-leg-03,part-dieu,lyon-checkin,taxi,TGV INOUI 12176 탑승 (10:22 발차 ➔ 11:28 Lyon 도착),Lyon 숙소 이동 & 짐 보관 & 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
23,day-23-leg-04,lyon-checkin,ainay-walk,metro,Lyon 숙소 이동 & 짐 보관 & 점심,Presqu'île (벨쿠르 광장 & 셀레스탱 극장),COMPLETE,COMPLETE,PASS_MATCH,PASS
23,day-23-leg-05,ainay-walk,lyon-return,walk,Presqu'île (벨쿠르 광장 & 셀레스탱 극장),Café Comptoir Abel 부숑 첫 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
24,day-24-leg-01,funicular-ascent,fourviere,tram,Metro D ➔ Vieux Lyon ➔ 푸니쿨라 F2 상행,Basilique Notre-Dame de Fourvière & 로마극장,COMPLETE,COMPLETE,PASS_MATCH,PASS
24,day-24-leg-02,fourviere,rosaire-descent,walk,Basilique Notre-Dame de Fourvière & 로마극장,Jardin du Rosaire 완만한 정원 하산길,COMPLETE,COMPLETE,PASS_MATCH,PASS
24,day-24-leg-03,rosaire-descent,vieux-lyon-lunch,walk,Jardin du Rosaire 완만한 정원 하산길,Vieux Lyon 구시가지 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
24,day-24-leg-04,vieux-lyon-lunch,vieux-lyon,walk,Vieux Lyon 구시가지 점심,Vieux Lyon & Traboules (비외 리옹 & 트라불),COMPLETE,COMPLETE,PASS_MATCH,PASS
24,day-24-leg-05,vieux-lyon,saone-presquile,walk,Vieux Lyon & Traboules (비외 리옹 & 트라불),Saône 강변 산책 & Passerelle Saint-Georges,COMPLETE,COMPLETE,PASS_MATCH,PASS
24,day-24-leg-06,saone-presquile,lyon-bouchon-dinner,metro,Saône 강변 산책 & Passerelle Saint-Georges,Daniel et Denise 정통 부숑 만찬,COMPLETE,COMPLETE,PASS_MATCH,PASS
25,day-25-leg-01,croix-rousse-market,maison-des-canuts,walk,Marché de la Croix-Rousse & 마을 산책,Maison des Canuts — 자카르 직조기 실제 시연,COMPLETE,COMPLETE,PASS_MATCH,PASS
25,day-25-leg-02,maison-des-canuts,halles-gastronomy,bus,Maison des Canuts — 자카르 직조기 실제 시연,Halles Paul Bocuse 미식 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
25,day-25-leg-03,halles-gastronomy,halles-shopping,walk,Halles Paul Bocuse 미식 점심,폴 보퀴즈 시장 식재료 & 아티장 상점 탐방,COMPLETE,COMPLETE,PASS_MATCH,PASS
25,day-25-leg-04,halles-shopping,tete-dor,walk,폴 보퀴즈 시장 식재료 & 아티장 상점 탐방,Parc de la Tête d'Or (황금머리 공원),COMPLETE,COMPLETE,PASS_MATCH,PASS
25,day-25-leg-05,tete-dor,lyon-return,metro,Parc de la Tête d'Or (황금머리 공원),숙소 복귀 & 휴식 (저녁 가볍게),COMPLETE,COMPLETE,PASS_MATCH,PASS
26,day-26-leg-01,part-dieu-departure,vieille-ville,train,Lyon Part-Dieu ➔ Annecy 이동 (TER),Annecy Vieille Ville & Palais de l'Île,COMPLETE,COMPLETE,PASS_MATCH,PASS
26,day-26-leg-02,vieille-ville,savoy-lunch,walk,Annecy Vieille Ville & Palais de l'Île,Chez Mamie Lise 점심 (안시),COMPLETE,COMPLETE,PASS_MATCH,PASS
26,day-26-leg-03,savoy-lunch,lakefront,walk,Chez Mamie Lise 점심 (안시),Lac d'Annecy & Pont des Amours & 유럽 정원,COMPLETE,COMPLETE,PASS_MATCH,PASS
26,day-26-leg-04,lakefront,annecy-return,train,Lac d'Annecy & Pont des Amours & 유럽 정원,Annecy ➔ Lyon Part-Dieu 귀환 & 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
27,day-27-leg-01,lyon-checkout,part-dieu-lunch,taxi,Lyon 숙소 체크아웃 & Part-Dieu역 이동,Part-Dieu역 점심 & TGV 플랫폼 대기,COMPLETE,COMPLETE,PASS_MATCH,PASS
27,day-27-leg-02,part-dieu-lunch,tgv-to-paris,train,Part-Dieu역 점심 & TGV 플랫폼 대기,TGV INOUI 6618 ➔ Paris Gare de Lyon 도착,COMPLETE,COMPLETE,PASS_MATCH,PASS
27,day-27-leg-03,tgv-to-paris,paris-checkin,taxi,TGV INOUI 6618 ➔ Paris Gare de Lyon 도착,Paris 15구 숙소 이동 & 체크인 (15박 정착),COMPLETE,COMPLETE,PASS_MATCH,PASS
27,day-27-leg-04,paris-checkin,first-grocery,walk,Paris 15구 숙소 이동 & 체크인 (15박 정착),15구 생활권 첫 장보기 & 동네 산책,COMPLETE,COMPLETE,PASS_MATCH,PASS
27,day-27-leg-05,first-grocery,paris-return,walk,15구 생활권 첫 장보기 & 동네 산책,숙소 첫 저녁 식사 & 파리 15박 시작,COMPLETE,COMPLETE,PASS_MATCH,PASS
28,day-28-leg-01,morning-routine,city-bus-tour,metro,Boulangerie Pichard 아침 빵 조달 & 루틴,Tootbus Paris Discovery (Champs-Élysées - Franklin D. Roosevelt 승차),COMPLETE,COMPLETE,PASS_MATCH,PASS
28,day-28-leg-02,city-bus-tour,grand-palais-cezanne,walk,Tootbus Paris Discovery (Champs-Élysées - Franklin D. Roosevelt 승차),Grand Palais — 특별전 <Cézanne et nous>,COMPLETE,COMPLETE,PASS_MATCH,PASS
28,day-28-leg-03,grand-palais-cezanne,paris-return,metro,Grand Palais — 특별전 <Cézanne et nous>,Café du Commerce 15구 브라세리 첫 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
29,day-29-leg-01,morning-routine,luxembourg-warhol,metro,Marché Convention 일요 노천시장 장보기,Musée du Luxembourg — 특별전 <Andy Warhol>,COMPLETE,COMPLETE,PASS_MATCH,PASS
29,day-29-leg-02,luxembourg-warhol,jardin-luxembourg,walk,Musée du Luxembourg — 특별전 <Andy Warhol>,Jardin du Luxembourg & 메디시스 분수,COMPLETE,COMPLETE,PASS_MATCH,PASS
29,day-29-leg-03,jardin-luxembourg,saint-germain,walk,Jardin du Luxembourg & 메디시스 분수,Saint-Germain-des-Prés 지성미 도보,COMPLETE,COMPLETE,PASS_MATCH,PASS
