id,page,section,subjectType,subjectName,city,priority,preferredOrientation,currentImage,candidateSource,status,notes
palau-de-maricel,places/palau-de-maricel.html,장소,attraction,Palau de Maricel,Barcelona · Sitges,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
sagrada-familia,places/sagrada-familia.html,장소,attraction,Sagrada Família,Barcelona · Sitges,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
sant-pau-recinte-modernista,places/sant-pau-recinte-modernista.html,장소,attraction,Sant Pau Recinte Modernista,Barcelona · Sitges,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
sitges,places/sitges.html,장소,attraction,Sitges,Barcelona · Sitges,P2,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
calella-de-palafrugell,places/calella-de-palafrugell.html,장소,attraction,Calella de Palafrugell,Girona · Costa Brava,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
collioure,places/collioure.html,장소,village,Collioure,Girona · Costa Brava,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
girona-cathedral,places/girona-cathedral.html,장소,attraction,Girona Cathedral,Girona · Costa Brava,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
onyar,places/onyar.html,장소,nature,Onyar 강변,Girona · Costa Brava,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
pals,places/pals.html,장소,village,Pals,Girona · Costa Brava,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
peralada,places/peralada.html,장소,attraction,Peralada,Girona · Costa Brava,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
peratallada,places/peratallada.html,장소,village,Peratallada,Girona · Costa Brava,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
cannes,places/cannes.html,장소,attraction,Cannes,Nice · Côte d’Azur,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
colline-du-chateau,places/colline-du-chateau.html,장소,attraction,Colline du Château (성채 언덕),Nice · Côte d’Azur,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
cours-saleya,places/cours-saleya.html,장소,attraction,Cours Saleya,Nice · Côte d’Azur,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
le-rocher,places/le-rocher.html,장소,attraction,Le Rocher — 모나코 구시가지,Nice · Côte d’Azur,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
le-suquet,places/le-suquet.html,장소,attraction,Le Suquet — 칸 구시가지,Nice · Côte d’Azur,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
marche-forville,places/marche-forville.html,장소,market,Marché Forville,Nice · Côte d’Azur,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
marche-de-la-liberation,places/marche-de-la-liberation.html,장소,market,Marché de la Libération,Nice · Côte d’Azur,P1,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
monaco,places/monaco.html,장소,attraction,Monaco,Nice · Côte d’Azur,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
nce-t2,chapters/nice/index.html,교통,transport,NCE T2,Nice · Côte d’Azur,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
nice-ville,chapters/nice/index.html,교통,transport,Nice-Ville,Nice · Côte d’Azur,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
promenade-des-anglais,places/promenade-des-anglais.html,장소,attraction,Promenade des Anglais,Nice · Côte d’Azur,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
vieux-nice,places/vieux-nice.html,장소,neighborhood,Vieux Nice — 구시가지,Nice · Côte d’Azur,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
atelier-des-lauves,places/atelier-des-lauves.html,장소,attraction,Atelier des Lauves,Aix-en-Provence,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
bastide-du-jas-de-bouffan,places/bastide-du-jas-de-bouffan.html,장소,attraction,Bastide du Jas de Bouffan,Aix-en-Provence,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
calanques,places/calanques.html,장소,nature,Calanques,Aix-en-Provence,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
carrieres-de-bibemus,places/carrieres-de-bibemus.html,장소,attraction,Carrières de Bibémus,Aix-en-Provence,P2,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
cassis,places/cassis.html,장소,attraction,Cassis 항구,Aix-en-Provence,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
cours-mirabeau,places/cours-mirabeau.html,장소,attraction,Cours Mirabeau,Aix-en-Provence,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
grasse,places/grasse.html,장소,attraction,Grasse,Aix-en-Provence,P2,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
lourmarin,places/lourmarin.html,장소,village,Lourmarin,Aix-en-Provence,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
montagne-sainte-victoire-terrain-des-peintres,places/montagne-sainte-victoire-terrain-des-peintres.html,장소,nature,Montagne Sainte-Victoire · Terrain des Peintres,Aix-en-Provence,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
musee-granet,places/musee-granet.html,장소,museum,Musée Granet,Aix-en-Provence,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
rotonde,places/rotonde.html,장소,attraction,Rotonde,Aix-en-Provence,P2,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
saint-paul-de-vence,places/saint-paul-de-vence.html,장소,attraction,Saint-Paul-de-Vence,Aix-en-Provence,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
place-richelme-place-des-precheurs,places/place-richelme-place-des-precheurs.html,장소,market,시장 — Place Richelme · Place des Prêcheurs,Aix-en-Provence,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
abbaye-de-senanque,places/abbaye-de-senanque.html,장소,attraction,Abbaye de Sénanque,Luberon,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
bonnieux,places/bonnieux.html,장소,village,Bonnieux,Luberon,P2,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
coustellet,places/coustellet.html,장소,market,Coustellet 생산자 시장,Luberon,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
gordes,places/gordes.html,장소,village,Gordes,Luberon,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
goult,places/goult.html,장소,village,Goult,Luberon,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
lourmarin-2,places/lourmarin-2.html,장소,village,Lourmarin,Luberon,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
l-isle-sur-la-sorgue,places/l-isle-sur-la-sorgue.html,장소,attraction,L’Isle-sur-la-Sorgue,Luberon,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
menerbes,places/menerbes.html,장소,attraction,Ménerbes,Luberon,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
oppede-le-vieux,places/oppede-le-vieux.html,장소,village,Oppède-le-Vieux,Luberon,P2,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
roussillon-sentier-des-ocres,places/roussillon-sentier-des-ocres.html,장소,attraction,Roussillon · Sentier des Ocres,Luberon,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
village-des-bories,places/village-des-bories.html,장소,attraction,Village des Bories,Luberon,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
carrieres-des-lumieres,places/carrieres-des-lumieres.html,장소,attraction,Carrières des Lumières,Avignon · Alpilles,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
glanum,places/glanum.html,장소,attraction,Glanum,Avignon · Alpilles,P2,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
les-baux-de-provence,places/les-baux-de-provence.html,장소,attraction,Les Baux-de-Provence,Avignon · Alpilles,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
les-halles,places/les-halles.html,장소,market,Les Halles,Avignon · Alpilles,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
palais-des-papes,places/palais-des-papes.html,장소,attraction,Palais des Papes,Avignon · Alpilles,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
pont-saint-benezet,places/pont-saint-benezet.html,장소,attraction,Pont Saint-Bénézet,Avignon · Alpilles,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
pont-du-gard,places/pont-du-gard.html,장소,attraction,Pont du Gard,Avignon · Alpilles,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
rocher-des-doms,places/rocher-des-doms.html,장소,attraction,Rocher des Doms,Avignon · Alpilles,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
saint-paul-de-mausole,places/saint-paul-de-mausole.html,장소,attraction,Saint-Paul-de-Mausole,Avignon · Alpilles,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
saint-remy-de-provence,places/saint-remy-de-provence.html,장소,village,Saint-Rémy-de-Provence,Avignon · Alpilles,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
uzes,places/uzes.html,장소,market,Uzès 토요시장,Avignon · Alpilles,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
annecy,places/annecy.html,장소,attraction,Annecy 구시가지,Lyon · Annecy,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
bellecour,places/bellecour.html,장소,attraction,Bellecour,Lyon · Annecy,P2,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
croix-rousse,places/croix-rousse.html,장소,neighborhood,Croix-Rousse,Lyon · Annecy,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
fourviere,places/fourviere.html,장소,attraction,Fourvière,Lyon · Annecy,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
halles-de-lyon-paul-bocuse,places/halles-de-lyon-paul-bocuse.html,장소,market,Halles de Lyon Paul Bocuse,Lyon · Annecy,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
parc-de-la-tete-d-or,places/parc-de-la-tete-d-or.html,장소,nature,Parc de la Tête d'Or,Lyon · Annecy,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
vieux-lyon,places/vieux-lyon.html,장소,attraction,Vieux Lyon · 트라불,Lyon · Annecy,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
bnf-richelieu,places/bnf-richelieu.html,장소,museum,BnF Richelieu,Paris,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
bourse-de-commerce-pinault-collection,places/bourse-de-commerce-pinault-collection.html,장소,attraction,Bourse de Commerce — Pinault Collection,Paris,P2,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
centre-pompidou,places/centre-pompidou.html,장소,attraction,Centre Pompidou,Paris,P2,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
giverny,places/giverny.html,장소,attraction,Giverny,Paris,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
grand-palais,places/grand-palais.html,장소,attraction,Grand Palais,Paris,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
latin-quarter,places/latin-quarter.html,장소,neighborhood,Latin Quarter,Paris,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
le-marais,places/le-marais.html,장소,neighborhood,Le Marais,Paris,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
montmartre-south-pigalle,places/montmartre-south-pigalle.html,장소,neighborhood,Montmartre · South Pigalle,Paris,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
montorgueil,places/montorgueil.html,장소,neighborhood,Montorgueil,Paris,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
musee-marmottan-monet,places/musee-marmottan-monet.html,장소,museum,Musée Marmottan Monet,Paris,P2,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
musee-d-orsay,places/musee-d-orsay.html,장소,museum,Musée d'Orsay,Paris,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
musee-de-l-orangerie,places/musee-de-l-orangerie.html,장소,museum,Musée de l'Orangerie,Paris,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
musee-du-louvre,places/musee-du-louvre.html,장소,museum,Musée du Louvre,Paris,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
notre-dame-de-paris,places/notre-dame-de-paris.html,장소,attraction,Notre-Dame de Paris,Paris,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
versailles,places/versailles.html,장소,attraction,Versailles,Paris,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
market-barcelona-mercat-concepcio,chapters/barcelona/food.html,시장,market,Mercat de la Concepció,Barcelona · Sitges,P0,landscape,,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
girona-walls,chapters/girona/places.html,장소,attraction,Passeig de la Muralla,Girona · Costa Brava,P0,landscape,,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
food-barcelona-pa-amb-tomaquet,chapters/barcelona/food.html,먹거리,food,Pa amb tomàquet,Barcelona · Sitges,P0,landscape,,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
food-barcelona-escalivada,chapters/barcelona/food.html,먹거리,food,Escalivada,Barcelona · Sitges,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-barcelona-fideua,chapters/barcelona/food.html,먹거리,food,Fideuà,Barcelona · Sitges,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-barcelona-crema-catalana,chapters/barcelona/food.html,먹거리,food,Crema catalana,Barcelona · Sitges,P2,landscape,,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
food-girona-xuixo,chapters/girona/food.html,먹거리,food,Xuixo,Girona · Costa Brava,P0,landscape,,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
food-girona-suquet-de-peix,chapters/girona/food.html,먹거리,food,Suquet de peix,Girona · Costa Brava,P0,landscape,,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
food-girona-arros-a-la-cassola,chapters/girona/food.html,먹거리,food,Arròs a la cassola,Girona · Costa Brava,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-girona-botifarra,chapters/girona/food.html,먹거리,food,Botifarra,Girona · Costa Brava,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-nice-socca,chapters/nice/food.html,먹거리,food,Socca,Nice · Côte d’Azur,P0,landscape,,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
food-nice-pissaladiere,chapters/nice/food.html,먹거리,food,Pissaladière,Nice · Côte d’Azur,P0,landscape,,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
food-nice-pan-bagnat,chapters/nice/food.html,먹거리,food,Pan bagnat,Nice · Côte d’Azur,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-nice-salade-nicoise,chapters/nice/food.html,먹거리,food,Salade niçoise,Nice · Côte d’Azur,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-nice-petits-farcis,chapters/nice/food.html,먹거리,food,Petits farcis,Nice · Côte d’Azur,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-aix-calisson,chapters/aix/food.html,먹거리,food,Calisson,Aix-en-Provence,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-aix-tapenade,chapters/aix/food.html,먹거리,food,Tapenade,Aix-en-Provence,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-aix-aioli-provencal,chapters/aix/food.html,먹거리,food,Aïoli provençal,Aix-en-Provence,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-luberon-melon-de-cavaillon,chapters/luberon/food.html,먹거리,food,Melon de Cavaillon,Luberon,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-luberon-fromage-de-chevre,chapters/luberon/food.html,먹거리,food,Fromage de chèvre,Luberon,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-luberon-olives-de-provence,chapters/luberon/food.html,먹거리,food,Olives de Provence,Luberon,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-avignon-papaline-d-avignon,chapters/avignon/food.html,먹거리,food,Papaline d’Avignon,Avignon · Alpilles,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-avignon-daube-provencale,chapters/avignon/food.html,먹거리,food,Daube provençale,Avignon · Alpilles,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-avignon-fougasse,chapters/avignon/food.html,먹거리,food,Fougasse,Avignon · Alpilles,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-lyon-quenelle,chapters/lyon/food.html,먹거리,food,Quenelle,Lyon · Annecy,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-lyon-salade-lyonnaise,chapters/lyon/food.html,먹거리,food,Salade lyonnaise,Lyon · Annecy,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-lyon-saucisson-brioche,chapters/lyon/food.html,먹거리,food,Saucisson brioché,Lyon · Annecy,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-lyon-tarte-a-la-praline,chapters/lyon/food.html,먹거리,food,Tarte à la praline,Lyon · Annecy,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-paris-croissant,chapters/paris/food.html,먹거리,food,Croissant,Paris,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-paris-pain-au-chocolat,chapters/paris/food.html,먹거리,food,Pain au chocolat,Paris,P0,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-paris-jambon-beurre,chapters/paris/food.html,먹거리,food,Jambon-beurre,Paris,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
food-paris-creme-brulee,chapters/paris/food.html,먹거리,food,Crème brûlée,Paris,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
