region,fact,result,source_url,checked,status
aix,,RTM 공식 lecar 직행(고속도로) 노선 존재 · 1회권 차내 판매 · 90분 환승 유효,,2026-08-17,VERIFIED
aix,,입장 €4/감액 €3 · 수영모 의무(9/1–6/30) · 수영반바지 금지 · 26 av. des Écoles Militaires,,2026-08-17,VERIFIED
aix,,"Richelme 식품시장 매일 08:00–13:00 · 화목토 큰장(직물·공예·골동, Comtales·Mirabeau 일대) · 꽃시장 화목토 시청/수금일 Comtales",,2026-08-17,VERIFIED
aix,,"매일 07:00–18:00, 주간 휴무 없음",,2026-08-17,VERIFIED
luberon,,"tickeasy 온라인 예약 플랫폼 활성(가이드 투어 프랑스어 / HistoPad 자율관람, Réserver 버튼). HistoPad 11개 언어에 한국어 포함. 개별 회차 시간·요금은 예약 화면 진입 필요(미게시)",,2026-08-17,VERIFIED
luberon,,"9/1-9/30 9h-19h, 최종입장 30분 전, 12/25·1/1 휴관, 성인 8€·12-17세 4€·12세 미만 무료 — 챕터 값과 일치",,2026-08-17,VERIFIED
luberon,,"9월 09:30 개장·최종입장 18:30·폐장 19:00, 개인 3.50€, 예약 불필요, 12/25·1/1 휴장, 화재·폭우 시 전일 18시 공지 폐쇄 — Day 2 값과 일치",,2026-08-17,VERIFIED
luberon,,2026 연중 화요일 8h-13h — 챕터 값과 일치 (9/15 화 방문 정합),,2026-08-17,VERIFIED
luberon,,"매주 일요일 8h-13h, 2026-03-29~12-27 — 요일·시간 일치, 시즌 시작만 '4월'이 아닌 3월 말(minor). 공식(provenceguide) 타임아웃으로 3자 출처",,2026-08-17,VERIFIED
luberon,,2026-09-12~13 확인(9/13 일요일 = Day 16 정합). 참가자는 '50 carnettistes'(챕터 45명은 구 값). 시간·입장료는 공식 미게시,,2026-08-17,VERIFIED
luberon,,"월 12:00-13:30·19:00-21:00 영업, 수·목 휴무, 금-일 영업. 메뉴 39€/49€ — 9/14(월) 저녁 계획 실행 가능, €39 일치",,2026-08-17,VERIFIED
luberon,,"금요일 8h-13h 연중, 일요일 시장 없음 — '일요일에는 없다' 서술 정확 (9/13 방문 기대조정 정합)",,2026-08-17,VERIFIED
avignon,,UNVERIFIED,,2026-08-17,UNVERIFIED
avignon,,"VERIFIED — 목-월 19:00~, 수요일 휴무. 17 Rue des Trois Faucons",,2026-08-17,VERIFIED
avignon,,PARTIAL — 점심 12:00-13:30·저녁 19:30-21:00 도착. 요일별 휴무 미게시,,2026-08-17,VERIFIED
avignon,,UNVERIFIED — 공식 사이트에 영업시간 미게시(전화 +33 4 32 76 32 16),,2026-08-17,UNVERIFIED
avignon,,"VERIFIED — 월-금 12:30-13:30·19:15-21:30, 토·일 휴무",,2026-08-17,VERIFIED
avignon,,"VERIFIED — 2026-09-17(목) 18:00-21:00 Muséum Requien, 무료",,2026-08-17,VERIFIED
avignon,,"PARTIAL — 호텔 공식 'every day' 서술, 상세 시간 미게시",,2026-08-17,VERIFIED
avignon,,"VERIFIED — 화 점심-토 저녁(일·월 휴무), 점심 12:00-13:30 → 9/19(토) 점심 가능. 21 rue Porte de Laure",,2026-08-17,VERIFIED
lyon,,연중 매일 점심·저녁 (일·월 포함). 전화 04 78 37 46 18 일치 → 본문 '매일 영업' NEW_V,,2026-08-17,VERIFIED
lyon,,"월-금 12-14/19-22, 토·일 휴무, 전화 04 78 60 66 53 → 본문 NEW_V. 9/22(화) 저녁 유효",,2026-08-17,VERIFIED
lyon,,"연중무휴 11:45-14:00/18:45-22:00, 예약 04 50 45 41 18 → 9/23(수) 유효 NEW_V",,2026-08-17,VERIFIED
lyon,,연중무휴 7/7 (12-14/18:30-22+) → 9/23(수) 유효 NEW_V,,2026-08-17,VERIFIED
lyon,,"대부분 상점 월-토 07:30-19:30·일 07:30-13:00, 월요일 다수 점포 휴무. 본문 L900의 '09:00-22:00' 계열은 X. 9/22(화) 점심 유효",,2026-08-17,VERIFIED
lyon,,화-일 (월 휴무). 화·금·토·일 06:00-13:30 약 95팀 / 수·목 06:00-13:00 약 23팀 → 9/22(화) 대장날 NEW_V,,2026-08-17,VERIFIED
lyon,,단발 존1-2 €2.10 (1h 유효)·전존 €3.70·24h 존1-2 €6.90·전존 24h €9.80·푸니쿨라 왕복권 €3.60 → 본문 계획가(€2.10/€6.90/€3.70/€3.60) NEW_V. 6존 체계 시행 확인(시행일자는 페이지에 미기재),,2026-08-17,VERIFIED
lyon,,"UNVERIFIED — 공식 사이트에서 9/20 이후 시간표·요금 확인 불가 (개별 페이지 404, 홈페이지에 시간표 없음). 본문의 '확정 금지·출발 전 확인' 처리 유지가 맞음",,2026-08-17,UNVERIFIED
paris,,입장 100% 무료. 예약은 공식 사이트(notredamedeparis.fr)에서만. 제3자 플랫폼은 판매 권한 없음. 슬롯 개방 시점(며칠 전)은 해당 페이지에서 확인 불가.,,2026-08-17,VERIFIED
paris,,"공식 시간표 페이지 404 (/en/visit/schedules/, /en/visit/horaires-douverture/ 모두). 확인 실패.",,2026-08-17,VERIFIED
paris,,"2026/9/23–2027/1/17, Grand Palais 갤러리 3·4. 예약 2026년 7월 7일 개시.",,2026-08-17,VERIFIED
paris,,174점 (세잔 69점 + 타 작가 105점). 공동주최: GrandPalaisRmn·Centre Pompidou·오르세/오랑주리 공공기관.,,2026-08-17,VERIFIED
paris,,"화–일 09:30–18:00, 월요일·5/1·12/25 휴관. 목요일 21:45까지(마지막 입장 21:00, 전시실 21:15 폐쇄). 온라인 €16 / 현장 €14.",,2026-08-17,VERIFIED
paris,,"2026년 10월 6일 – 2027년 1월 31일. 프랑스 최초의 대규모 카사트 전시, 사망 100주년.",,2026-08-17,VERIFIED
paris,,"'Monet, painting time' 2026/9/30–2027/1/25 확인. 금요일 18시부터 야간요금 €10 단일가, 매월 첫 일요일 무료(예약 필수), 시간지정 예약 강력 권장(예약시각 +30분 내 입장). 일반 성인 요금과 휴관 요일은 공식 페이지 403/404로 확인 실패.",,2026-08-17,VERIFIED
paris,,"월–일 11:00–19:00, 금요일 21:00까지. 화요일·5/1 휴관. 매월 첫 토요일 17:00–21:00 무료 야간. 2026/8/26–10/5 전시 준비 기간. 'Remember Me' 2026년 10월 7일 개막.",,2026-08-17,VERIFIED
paris,,"2026-01-01 시행: Navigo Semaine 전존 €32.40 / Navigo Mois 전존 €90.80 / 메트로-기차-RER 단발 €2.55(감액 €1.30) / 버스-트램 €2.05(감액 €1.05) / 공항: Orly(14호선) €14, Roissy CDG(RER B) €7.",,2026-08-17,VERIFIED
paris,,"10/3(토)·10/4(일) 개최. 본경주 10/4 16:05. 무료 셔틀 Porte Maillot(1호선)·Porte d'Auteuil(10호선), 토 11:30부터·일 10:30부터 약 15분 간격, 복편 토 21:30·일 22:00까지. 일반 입장 예매 가능, 프레스티지 오베르주/카스카드·Ribot 매진.",,2026-08-17,VERIFIED
paris,,"10/7–11, 제93회, 테마 'Le 18e donne le rythme'. Clos Montmartre 가이드 투어(역사가 Jean-Manuel Gabert) 10/7·8·9·11 운영, 예약 9월 14일(월)부터. Grande Parade 10/10(토) 포도밭. Parcours du Goût 10/10–12 사크레쾨르 일대.",,2026-08-17,VERIFIED
